Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density ,maximum height,seed mass,seed volume,flowering duration,source,source notes
Casuarina cunninghamiana,,,,,,0.001,,25.000,,,,AUSTRAITS_dataset_49,
casuarina cunninghamiana,,,,,,0.019,,20.000,,,,AUSTRAITS_dataset_29,
Breynia oblongifolia,101.500,cm2/g,,,,0.033,,,,,,AUSTRAITS_dataset_3,
Synoum glandulosum,124.000,cm2/g,,,,0.104,,,,,,AUSTRAITS_dataset_3,
Phyllanthus microcladus,,,,,,0.147,,1.000,,,,AUSTRAITS_dataset_49,
Cissus hypoglauca,121.600,cm2/g,,,,0.181,,,,,,AUSTRAITS_dataset_3,
Casuarina cunninghamiana,3.724, mm2/g,,,,0.188,,10.000,,,,AUSTRAITS_dataset_8,
Casuarina cunninghamiana,3.724,mm2/mg,,,,0.188,,10.000,,,,AUSTRAITS_dataset_52,
Casuarina cunninghamiana,,,,,,0.190,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,24.308, mm2/g,,,,0.209,,0.500,,,,AUSTRAITS_dataset_8,
Pandorea pandorana,24.308,mm2/mg,,,,0.209,,0.500,,,,AUSTRAITS_dataset_52,
Araucaria cunninghamii,,,,,,0.219,437.000,50.000,,,,AUSTRAITS_dataset_49,
Diospyros australis,87.500,cm2/g,,,,0.260,,,,,,AUSTRAITS_dataset_3,
Pittosporum multiflorum,,,,,,0.260,,,,,,AUSTRAITS_dataset_68,
Pittosporum multiflorum,,,,,,0.260,,,,,,AUSTRAITS_dataset_68,
Pittosporum multiflorum,,,,,,0.260,,,,,,AUSTRAITS_dataset_68,
Pittosporum multiflorum,,,,,,0.276,,4.200,,,,AUSTRAITS_dataset_49,
Melaleuca bracteata,,,,,,0.299,,15.000,,,,AUSTRAITS_dataset_49,
Acronychia oblongifolia,,,,,,0.400,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,105.000,cm2/g,,,,0.421,,,,,,AUSTRAITS_dataset_3,
Araucaria cunninghamii,,,,,,0.750,,,,,,AUSTRAITS_dataset_68,
Araucaria cunninghamii,,,,,,0.750,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,30.880,mm2/mg,,,,0.900,,3.000,2.964,,,AUSTRAITS_dataset_10,
Grevillea robusta,,,,,,1.155,516.000,35.000,31.416,,,AUSTRAITS_dataset_49,
Breynia oblongifolia,15.760,mm2/mg,,,,1.200,,2.000,7.828,,,AUSTRAITS_dataset_10,
Breynia oblongifolia,,,,,,1.200,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,,,,,,1.200,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,,,,,,1.200,,,,,,AUSTRAITS_dataset_68,
Psychotria daphnoides,,,,,,1.260,,2.000,,,,AUSTRAITS_dataset_49,
Lomandra longifolia,1.656, mm2/g,,,,1.539,,0.300,,,,AUSTRAITS_dataset_8,
Geitonoplesium cymosum,,,,,,1.540,,,,,,Gallagher_field_workPHD,
Breynia oblongifolia,,,,,,1.663,,8.000,,,,AUSTRAITS_dataset_49,
Pilidiostigma rhytispermum,,,,,,1.890,,10.000,,,,AUSTRAITS_dataset_49,
Alyxia ruscifolia,,,,,,2.030,,6.000,,,dec/jan/feb/mar/apr/may,AUSTRAITS_dataset_56,
Breynia oblongifolia,,,,,,2.080,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,29.051, mm2/g,,,,2.182,,0.200,,,,AUSTRAITS_dataset_8,
Pandorea pandorana,,,,,,2.182,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,53.112, mm2/g,,,,2.209,,0.200,,,,AUSTRAITS_dataset_8,
Geitonoplesium cymosum,,,,,,2.210,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,14.000, mm2/g,,,,2.545,,1.200,,,,AUSTRAITS_dataset_8,
Breynia oblongifolia,14.000,mm2/mg,,,,2.545,,1.200,,,,AUSTRAITS_dataset_52,
Breynia oblongifolia,,,,,,2.550,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,2.550,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,18.520,mm2/mg,,,,2.700,,2.000,12.310,,,AUSTRAITS_dataset_10,
Cayratia clematidea,,,,,,2.700,,,,,,AUSTRAITS_dataset_68,
Rubus rosifolius,,,,,,2.720,,,,,,AUSTRAITS_dataset_68,
Rubus rosifolius,,,,,,2.720,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,13.220,mm2/mg,,,,2.816,,0.000,38.058,,,AUSTRAITS_dataset_10,
Geitonoplesium cymosum,40.140,mm2/mg,,,,2.820,,3.000,3.776,,,AUSTRAITS_dataset_10,
Geitonoplesium cymosum,,,,,,2.820,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,2.820,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,2.820,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,3.020,,,,,,Gallagher_field_workPHD,
bursaria incana,,,,,,3.150,,8.000,,,feb/mar/apr,AUSTRAITS_dataset_29,
Breynia oblongifolia,,,,,,3.180,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,11.951, mm2/g,,,,3.180,,0.400,,,,AUSTRAITS_dataset_8,
Ochna serrulata,20.310,mm2/mg,,,,3.260,,2.000,83.760,,,AUSTRAITS_dataset_10,
Ochna serrulata,,,,,,3.260,,,,,,AUSTRAITS_dataset_68,
Wikstroemia indica,,,,,,3.260,,4.000,,,,AUSTRAITS_dataset_49,
Bursaria incana,,,,,,3.325,,10.000,3.142,,,AUSTRAITS_dataset_49,
Morinda jasminoides,26.120,mm2/mg,,,,3.330,,1.500,5.445,,,AUSTRAITS_dataset_10,
Morinda jasminoides,,,,,,3.330,,,,,,AUSTRAITS_dataset_68,
Syzygium luehmannii,,,,,,3.600,,,,,,Gallagher_field_workPHD,
Rubus rosifolius,16.433, mm2/g,,,,3.684,,1.000,,,,AUSTRAITS_dataset_8,
Rubus rosifolius,16.433,mm2/mg,,,,3.684,,1.000,,,,AUSTRAITS_dataset_52,
Rubus rosifolius,,,,,,3.684,,,,,,AUSTRAITS_dataset_68,
Carissa ovata,,,,,,3.750,,,,,,AUSTRAITS_dataset_68,
Pteridium esculentum,,,,,,3.895,,,,,,AUSTRAITS_dataset_68,
Pteridium esculentum,8.270, mm2/g,,,,3.895,,1.200,,,,AUSTRAITS_dataset_8,
Jagera pseudorhus,,,,,,3.900,,,,,,AUSTRAITS_dataset_68,
Jagera pseudorhus,,,,,,3.900,,,,,,AUSTRAITS_dataset_68,
Jagera pseudorhus,,,,,,3.900,,,,,,AUSTRAITS_dataset_68,
Alyxia ruscifolia,,,,,,3.970,,,,,,AUSTRAITS_dataset_68,
Alyxia ruscifolia,,,,,,3.970,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,3.980,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,3.980,,,,,,Gallagher_field_workPHD,
Wikstroemia indica,,,,,,4.000,,,,,,AUSTRAITS_dataset_68,
Backhousia myrtifolia,8.550,mm2/mg,,,,4.030,,10.000,13.006,,,AUSTRAITS_dataset_10,
Backhousia myrtifolia,,,,,,4.030,,,,,,AUSTRAITS_dataset_68,
Myrsine variabilis,,,,,,4.030,,,,,,AUSTRAITS_dataset_68,
Pothos longipes,,,,,,4.200,,,,,,AUSTRAITS_dataset_68,
Pothos longipes,,,,,,4.200,,,,,,Gallagher_field_workPHD,
Jagera pseudorhus,,,,,,4.400,,,,,,Gallagher_field_workPHD,
Rubus rosifolius,,,,,,4.428,,,,,,AUSTRAITS_dataset_49,
Carissa ovata,,,,,,4.620,,4.000,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,31.278, mm2/g,,,,4.717,,0.100,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,31.278,mm2/mg,,,,4.717,,0.100,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,,,,,,4.720,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,,,,,,4.758,0.620,,,,,AUSTRAITS_dataset_30,
Breynia oblongifolia,,,,,,4.760,,,,,,AUSTRAITS_dataset_68,
Notelaea microcarpa,,,,,,4.800,,,,,,AUSTRAITS_dataset_68,
Notelaea microcarpa,5.057, mm2/g,,,,4.801,,2.000,,,,AUSTRAITS_dataset_8,
Notelaea microcarpa,5.057,mm2/mg,,,,4.801,,2.000,,,,AUSTRAITS_dataset_52,
Jagera pseudorhus,,,,,,4.810,,,,,,Gallagher_field_workPHD,
Alyxia ruscifolia,,,,,,4.900,,5.000,,,,AUSTRAITS_dataset_49,
Parsonsia straminea,37.305, mm2/g,,,,5.126,,1.500,,,,AUSTRAITS_dataset_8,
Parsonsia straminea,37.305,mm2/mg,,,,5.126,,1.500,,,,AUSTRAITS_dataset_52,
Parsonsia straminea,,,,,,5.130,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.200,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.200,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.200,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.200,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.200,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.200,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.200,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.200,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.200,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,5.200,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,,,,,,5.210,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.210,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.210,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,5.210,,,,,,Gallagher_field_workPHD,
Callerya megasperma,,,,,,5.250,,,,,,AUSTRAITS_dataset_68,
Callerya megasperma,,,,,,5.250,,,,,,AUSTRAITS_dataset_68,
Ochna serrulata,,,,,,5.310,,,,,,AUSTRAITS_dataset_68,
Ochna serrulata,21.102, mm2/g,,,,5.313,,0.300,,,,AUSTRAITS_dataset_8,
Geitonoplesium cymosum,,,,,,5.600,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.600,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.600,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.600,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.600,,,,,,Gallagher_field_workPHD,
Pandorea pandorana,,,,,,5.600,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.610,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,5.610,,,,,,Gallagher_field_workPHD,
