Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering duration,source,source notes
Hicksbeachia pinnatifolia,,,,,,41.33,,,,,,AUSTRAITS_dataset_68,
Hicksbeachia pinnatifolia,,,,,,41.33,,,,,,AUSTRAITS_dataset_68,
Hicksbeachia pinnatifolia,,,,,,41.33,,,,,,AUSTRAITS_dataset_68,
Rhodomyrtus psidioides,,,,,,41.39,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,,,41.398,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,41.563,,10,,,,AUSTRAITS_dataset_49,
Cissus antarctica,,,,,,41.63,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,41.63,,,,,,Gallagher_field_workPHD,
Ficus coronata,16.555,m2/kg,,,,41.718,0.4,,,,,AUSTRAITS_dataset_28,
Endiandra globosa,,,,,,41.948,720,30,,,,AUSTRAITS_dataset_49,
Wilkiea huegeliana,9.276,m2/kg,,,,42.119,,0.8,,,,AUSTRAITS_dataset_8,
Cleistanthus cunninghamii,11.487,m2/kg,,,,42.292,0.733,,,,,AUSTRAITS_dataset_28,
Eupomatia laurina,12.694,m2/kg,,,,42.437,,15,,,,AUSTRAITS_dataset_8,
Eupomatia laurina,,,,,,42.44,,,,,,AUSTRAITS_dataset_68,
Mallotus philippensis,,,,,,42.525,600,25,,,,AUSTRAITS_dataset_49,
Smilax australis,,,,,,43.33,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,43.33,,,,,,AUSTRAITS_dataset_68,
Carronia multisepala,,,,,,43.4,,,62.832,,,AUSTRAITS_dataset_49,
Eupomatia laurina,,,,,,43.4,,,,,,Gallagher_field_workPHD,
Hicksbeachia pinnatifolia,,,,,,43.4,580.5,15,,,,AUSTRAITS_dataset_49,
Pouteria queenslandica,,,,,,43.5,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,43.51,,,,,,Gallagher_field_workPHD,
Arytera divaricata,,,,,,43.6,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,,,,,,43.75,,,,,,AUSTRAITS_dataset_68,
Neolitsea dealbata,,,,,,43.75,,,,,,AUSTRAITS_dataset_68,
Neolitsea dealbata,,,,,,43.75,,,,,,AUSTRAITS_dataset_68,
Mischocarpus pyriformis,,,,,,43.86,,,,,,Gallagher_field_workPHD,
Lomandra longifolia,41.991,cm2/g,,,,,,,,,,AUSTRAITS_dataset_32,
Dioscorea transversa,,,,,,44.1,,,4.712,,,AUSTRAITS_dataset_49,
Alangium villosum,19.461,m2/kg,,,,44.307,0.485,,,,,AUSTRAITS_dataset_28,
Parsonsia straminea,,,,,,44.33,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,44.33,,,,,,AUSTRAITS_dataset_68,
Endiandra discolor,,,,,,44.49,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,,,44.68,,,,,,AUSTRAITS_dataset_68,
Stephania japonica,,,,,,44.68,,,,,,Gallagher_field_workPHD,
Helicia glabriflora,,,,,,44.85,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,,,45.019,600,30,,,,AUSTRAITS_dataset_49,
Ficus fraseri,,,,,,45.28,,,,,,Gallagher_field_workPHD,
Alangium villosum,19.214,m2/kg,,,,45.44,0.594,,,,,AUSTRAITS_dataset_28,
Cissus antarctica,,,,,,45.46,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,45.46,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,45.46,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,,,45.5,,,,,,AUSTRAITS_dataset_49,
Arytera divaricata,,,,,,45.82,,,,,,Gallagher_field_workPHD,
Carissa ovata,,,,,,46.2,,,,,,AUSTRAITS_dataset_6,flora
Ficus virens,,,,,,46.288,340,40,,,,AUSTRAITS_dataset_49,
Arytera divaricata,,,,,,46.61,,,,,,Gallagher_field_workPHD,
Ficus opposita,,,,,,46.638,,10,,,,AUSTRAITS_dataset_49,
Calamus muelleri,,,,,,47.25,,,,,,AUSTRAITS_dataset_68,
Calamus muelleri,,,,,,47.25,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,,,47.57,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,47.57,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,47.57,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,47.57,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,47.57,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,47.57,,,,,,Gallagher_field_workPHD,
Carronia multisepala,,,,,,47.67,,,,,,AUSTRAITS_dataset_68,
Carronia multisepala,,,,,,47.67,,,,,,AUSTRAITS_dataset_68,
Dysoxylum rufum,,,,,,47.77,,,,,,Gallagher_field_workPHD,
Pavetta australiensis,,,,,,47.775,,7,,,,AUSTRAITS_dataset_49,
Commersonia bartramia,,,,,,47.84,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,18.52,m2/kg,,,,2.7,,2,12.31,,,AUSTRAITS_dataset_10,
Ligustrum lucidum,,,,,,48,,,,,,AUSTRAITS_dataset_68,
Marsdenia rostrata,,,,,,48.8,,,,,,Gallagher_field_workPHD,
Commersonia bartramia,,,,,,49,,,,,,AUSTRAITS_dataset_68,
Parsonsia straminea,,,,,,49,,,,,,AUSTRAITS_dataset_49,
Marsdenia rostrata,,,,,,49.5,,,,,,Gallagher_field_workPHD,
Melodinus australis,,,,,,49.613,,,,,,AUSTRAITS_dataset_49,
Clematis aristata,,,,,,49.66,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,,,49.98,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,12.204,m2/kg,,,,50.03,,17,,,,AUSTRAITS_dataset_8,
Pandorea pandorana,18.587,m2/kg,,,,6.55,,1,,,,AUSTRAITS_dataset_52,
Parsonsia straminea,,,,,,50.03,,,,,,AUSTRAITS_dataset_68,
Macadamia tetraphylla,,,,,,50.17,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,51.31,,,,,,Gallagher_field_workPHD,
Lophostemon suaveolens,,,,61.8,g/m2,51.46,,,,,,AUSTRAITS_dataset_43,
Piper hederaceum,,,,,,51.476,,,,,,AUSTRAITS_dataset_49,
Lophostemon suaveolens,,,,61.8,g/m2,51.5,0.46,25,,,,AUSTRAITS_dataset_61,
Lophostemon suaveolens,,,,61.8,,51.5,,25,,,,AUSTRAITS_dataset_45,
Wilkiea huegeliana,,,,,,51.5,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,,,51.85,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,,,,,,51.975,,15,,,jan/feb/mar/apr,AUSTRAITS_dataset_56,
Ficus fraseri,10.891,m2/kg,,,,52.133,0.421,,,,,AUSTRAITS_dataset_28,
Marsdenia rostrata,,,,,,52.18,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,,,,,,52.28,,,,,,AUSTRAITS_dataset_68,
Ficus racemosa,,,,,,52.5,,35,,,,AUSTRAITS_dataset_49,
mallotus philippensis,,,,,,53.594,,10,,,jan/feb/mar/apr/may/jun/jul/augsep/oct/nov,AUSTRAITS_dataset_29,
Parsonsia straminea,,,,,,54.24,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,,,54.69,,,,,,Gallagher_field_workPHD,
Ficus opposita,,,,120.86,g/m2,55.65,0.44,4,,,,AUSTRAITS_dataset_39,
Flindersia schottiana,,,,,,55.878,580,45,36.652,,,AUSTRAITS_dataset_49,
Neolitsea dealbata,,,,,,56.84,,,,,,AUSTRAITS_dataset_68,
Ficus watkinsiana,,,,,,58.33,,,,,,AUSTRAITS_dataset_68,
Ficus watkinsiana,,,,,,58.33,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,58.48,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,8.42,m2/kg,,,,58.481,,1,,,,AUSTRAITS_dataset_8,
Wilkiea macrophylla,,,,,,60,,,,,,AUSTRAITS_dataset_68,
Eupomatia bennettii,,,,,,60.638,,2,,,,AUSTRAITS_dataset_49,
Ficus racemosa,,,,,,60.9,,15,,,,AUSTRAITS_dataset_56,
Commersonia bartramia,,,,,,61.25,410,25,,,,AUSTRAITS_dataset_49,
Ficus watkinsiana,,,,,,61.25,,,,,,Gallagher_field_workPHD,
Cissus antarctica,18.973,m2/kg,,,,65.048,,2,,,,AUSTRAITS_dataset_52,
Lomandra longifolia,,,,,,61.33,,,,,,AUSTRAITS_dataset_68,
Lomandra longifolia,,,,,,61.33,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,61.73,,,,,,Gallagher_field_workPHD,
Ficus coronata,15.528,m2/kg,,,,61.777,0.47,,,,,AUSTRAITS_dataset_28,
Ficus watkinsiana,,,,,,63,370,40,,,,AUSTRAITS_dataset_49,
Neolitsea dealbata,,,,,,63,,15,,,,AUSTRAITS_dataset_49,
Wilkiea macrophylla,,,,,,63,,10,,,,AUSTRAITS_dataset_49,
Rubus moluccanus,,,,,,64.313,,,,,,AUSTRAITS_dataset_49,
Clerodendrum floribundum,,,,,,64.969,,8,,,,AUSTRAITS_dataset_49,
Cissus antarctica,18.973,m2/kg,,,,65.048,,2,,,,AUSTRAITS_dataset_8,
Lantana camara,19.02,m2/kg,,,,27.491,,2.5,,,,AUSTRAITS_dataset_52,
Cissus antarctica,,,,,,65.05,,,,,,AUSTRAITS_dataset_68,
ficus racemosa,,,,,,65.468,,30,,,,AUSTRAITS_dataset_29,
Smilax australis,,,,,,66.24,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,66.24,,,,,,Gallagher_field_workPHD,
Toona ciliata,,,,61.96,g/m2,66.4,0.53,30,,,,AUSTRAITS_dataset_39,
Clerodendrum floribundum,,,,,,66.413,,4,,,ephemeral,AUSTRAITS_dataset_56,
Stephania japonica,,,,,,69.3,,,23.562,,,AUSTRAITS_dataset_49,
Smilax australis,,,,,,70.97,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,70.98,,,,,,Gallagher_field_workPHD,
Ficus racemosa,,,,,,72,,,,,,AUSTRAITS_dataset_68,
Callerya megasperma,,,,,,73.5,,,,,,AUSTRAITS_dataset_49,
Smilax australis,,,,,,75,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,,,75.17,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,75.17,,,,,,Gallagher_field_workPHD,
Eupomatia laurina,,,,69.45,g/m2,75.65,0.5,7,,,,AUSTRAITS_dataset_39,
Wilkiea huegeliana,,,,,,79.45,,,,,,Gallagher_field_workPHD,
Ochna serrulata,19.181,m2/kg,,,,10.055,,3,,,,AUSTRAITS_dataset_52,
Stephania japonica,,,,,,80,,,,,,AUSTRAITS_dataset_68,
Sloanea australis,,,,,,80.17,,,,,,AUSTRAITS_dataset_68,
Sloanea australis,,,,,,80.17,,,,,,AUSTRAITS_dataset_68,
Sloanea australis,,,,,,80.17,,,,,,AUSTRAITS_dataset_68,
Neolitsea dealbata,,,,,,81.31,,,,,,AUSTRAITS_dataset_68,
Neolitsea dealbata,12.587,m2/kg,,,,81.312,0.412,,,,,AUSTRAITS_dataset_28,
Lomandra longifolia,,,,,,81.58,,,,,,AUSTRAITS_dataset_68,
Lomandra longifolia,7.007,m2/kg,,,,83.809,,0.7,,,,AUSTRAITS_dataset_8,
Lomandra longifolia,,,,,,83.81,,,,,,AUSTRAITS_dataset_68,
Sloanea australis,,,,,,84.175,516,45,,,,AUSTRAITS_dataset_49,
Diploglottis australis,,,,,,86,,,,,,AUSTRAITS_dataset_68,
Diploglottis australis,,,,,,86,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,86,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,86,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,,,,102.2,g/m2,86.03,0.47,20,,,,AUSTRAITS_dataset_39,
Notelaea longifolia,,,,,,89.49,,,,,,Gallagher_field_workPHD,
Diploglottis australis,,,,,,90.3,597.7,45,,,,AUSTRAITS_dataset_49,
Calamus muelleri,,,,,,90.56,,,,,,AUSTRAITS_dataset_68,
Diploglottis australis,,,,,,95.469,,,,,,AUSTRAITS_dataset_68,
Hibiscus heterophyllus,,,,,,96.25,,8,,,,AUSTRAITS_dataset_49,
Smilax australis,,,,,,98.25,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,98.25,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,10.703,m2/kg,,,,98.812,0.585,,,,,AUSTRAITS_dataset_28,
Neolitsea dealbata,11.106,m2/kg,,,,101.356,0.59,,,,,AUSTRAITS_dataset_28,
Legnephora moorei,,,,,,105.04,,,,,,AUSTRAITS_dataset_68,
Legnephora moorei,,,,,,105.04,,,,,,AUSTRAITS_dataset_68,
Legnephora moorei,,,,,,105.04,,,,,,Gallagher_field_workPHD,
Legnephora moorei,,,,,,107.33,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,7.968,m2/kg,,,,107.663,0.53,,,,,AUSTRAITS_dataset_28,
Schefflera actinophylla,,,,,,108.588,,20,,,aug/sep/oct/nov/dec,AUSTRAITS_dataset_56,
Melodinus australis,,,,,,110.25,,,,,,AUSTRAITS_dataset_6,flora
Sterculia quadrifida,,,,,,114.188,,10,,,feb/mar/apr/may/sep/oct/nov,AUSTRAITS_dataset_56,
Sterculia quadrifida,,,,,,119.35,309,25,,,,AUSTRAITS_dataset_49,
Schefflera actinophylla,,,,,,126.35,400,24,,,,AUSTRAITS_dataset_49,
Legnephora moorei,,,,,,130.67,,,,,,AUSTRAITS_dataset_68,
Passiflora edulis,,,,,,130.67,,,,,,AUSTRAITS_dataset_68,
Legnephora moorei,,,,,,143.02,,,,,,AUSTRAITS_dataset_68,
Legnephora moorei,,,,,,143.02,,,,,,Gallagher_field_workPHD,
Legnephora moorei,,,,,,168.175,,,226.195,,,AUSTRAITS_dataset_49,
Synoum glandulosum,8.739,m2/kg,,,,187.718,0.502,,,,,AUSTRAITS_dataset_28,
Synoum glandulosum,10.619,m2/kg,,,,203.557,0.524,,,,,AUSTRAITS_dataset_28,
Synoum glandulosum,,,,,,203.56,,,,,,AUSTRAITS_dataset_68,
Polyscias elegans,,,,,,323.36,,,,,,AUSTRAITS_dataset_43,
Rubus moluccanus,,,,,,324.8,,,,,,AUSTRAITS_dataset_6,flora
Melodorum leichhardtii,,,,,,396.9,,,,,,AUSTRAITS_dataset_6,flora
Castanospermum australe,,,,,,483.9,,,,,,AUSTRAITS_dataset_68,
Calamus muelleri,,,,,,546.75,,,,,,AUSTRAITS_dataset_68,
Arytera divaricata,,,,90.76,g/cm2,,,,,,,Gallagher_field_workPHD,
Hippocratea barbata,,,,68.79,g/cm2,,,,,,,Gallagher_field_workPHD,
Jagera pseudorhus,,,,41.83,g/cm2,,,,,,,Gallagher_field_workPHD,
Jagera pseudorhus,,,,48.33,g/cm2,,,,,,,Gallagher_field_workPHD,
Legnephora moorei,,,,36.83,g/cm2,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,46.99,g/cm2,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,47.51,g/cm2,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,49.21,g/cm2,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,49.84,g/cm2,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,60.44,g/cm2,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,64.62,g/cm2,,,,,,,Gallagher_field_workPHD,
Arytera divaricata,,,,98.7,g/cm2,,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,70.32,g/cm2,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,28.83,g/cm2,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,39.15,g/cm2,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,41.46,g/cm2,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,44.39,g/cm2,,,,,,,Gallagher_field_workPHD,
Marsdenia rostrata,,,,58.17,g/cm2,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,108.82,g/cm2,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,112.14,g/cm2,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,116.12,g/cm2,,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,118.69,g/cm2,,,,,,,Gallagher_field_workPHD,
Beilschmiedia obtusifolia,,,,91.01,g/cm2,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,31,g/cm2,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,31.72,g/cm2,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,36.37,g/cm2,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,37.25,g/cm2,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,37.66,g/cm2,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,43.73,g/cm2,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,45.49,g/cm2,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,63.66,g/cm2,,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,55.69,g/cm2,,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,80.24,g/cm2,,,,,,,Gallagher_field_workPHD,
Calamus muelleri,,,,78.94,g/cm2,,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,107.92,g/cm2,,,,,,,Gallagher_field_workPHD,
Myrsine variabilis,,,,114.06,g/cm2,,,,,,,Gallagher_field_workPHD,
Neolitsea dealbata,,,,90.48,g/cm2,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,42.26,g/cm2,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,91.49,g/cm2,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,98.1,g/cm2,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,99.63,g/cm2,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,120.75,g/cm2,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,137.42,g/cm2,,,,,,,Gallagher_field_workPHD,
Notelaea longifolia,,,,161.5,g/cm2,,,,,,,Gallagher_field_workPHD,
Capparis arborea,,,,87.77,g/cm2,,,,,,,Gallagher_field_workPHD,
Olea paniculata,,,,66.14,g/cm2,,,,,,,Gallagher_field_workPHD,
Pandorea pandorana,,,,36.53,g/cm2,,,,,,,Gallagher_field_workPHD,
Pandorea pandorana,,,,98.95,g/cm2,,,,,,,Gallagher_field_workPHD,
Pararchidendron pruinosum,,,,40.64,g/cm2,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,48.57,g/cm2,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,72,g/cm2,,,,,,,Gallagher_field_workPHD,
Parsonsia straminea,,,,85.65,g/cm2,,,,,,,Gallagher_field_workPHD,
Pittosporum undulatum,,,,72.8,g/cm2,,,,,,,Gallagher_field_workPHD,
Pittosporum undulatum,,,,90.27,g/cm2,,,,,,,Gallagher_field_workPHD,
Pittosporum undulatum,,,,100.86,g/cm2,,,,,,,Gallagher_field_workPHD,
Capparis arborea,,,,103.4,g/cm2,,,,,,,Gallagher_field_workPHD,
Pittosporum undulatum,,,,103.54,g/cm2,,,,,,,Gallagher_field_workPHD,
Polyscias elegans,,,,61.3,g/cm2,,,,,,,Gallagher_field_workPHD,
Polyscias elegans,,,,66.15,g/cm2,,,,,,,Gallagher_field_workPHD,
Polyscias elegans,,,,69.36,g/cm2,,,,,,,Gallagher_field_workPHD,
Polyscias elegans,,,,109.97,g/cm2,,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,,,,45.95,g/cm2,,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,,,,61.39,g/cm2,,,,,,,Gallagher_field_workPHD,
Rhodomyrtus psidioides,,,,59.18,g/cm2,,,,,,,Gallagher_field_workPHD,
Rhodomyrtus psidioides,,,,106.95,g/cm2,,,,,,,Gallagher_field_workPHD,
Sarcopteryx stipata,,,,109.06,g/cm2,,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,,,,16.93,g/cm2,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,70.4,g/cm2,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,76.95,g/cm2,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,78.86,g/cm2,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,80.94,g/cm2,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,97.19,g/cm2,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,109.08,g/cm2,,,,,,,Gallagher_field_workPHD,
Smilax australis,,,,122.5,g/cm2,,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,40.82,g/cm2,,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,49.59,g/cm2,,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,50.15,g/cm2,,,,,,,Gallagher_field_workPHD,
Cayratia clematidea,,,,26.37,g/cm2,,,,,,,Gallagher_field_workPHD,
Stephania japonica,,,,76.81,g/cm2,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,42.59,g/cm2,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,53.88,g/cm2,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,59.12,g/cm2,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,90.82,g/cm2,,,,,,,Gallagher_field_workPHD,
Syzygium australe,,,,64.26,g/cm2,,,,,,,Gallagher_field_workPHD,
Syzygium australe,,,,82.05,g/cm2,,,,,,,Gallagher_field_workPHD,
Syzygium australe,,,,91.94,g/cm2,,,,,,,Gallagher_field_workPHD,
Syzygium australe,,,,95.74,g/cm2,,,,,,,Gallagher_field_workPHD,
Syzygium luehmannii,,,,64.99,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,45.6,g/cm2,,,,,,,Gallagher_field_workPHD,
Syzygium luehmannii,,,,73.26,g/cm2,,,,,,,Gallagher_field_workPHD,
Syzygium luehmannii,,,,78.65,g/cm2,,,,,,,Gallagher_field_workPHD,
Syzygium oleosum,,,,84.09,g/cm2,,,,,,,Gallagher_field_workPHD,
Syzygium oleosum,,,,89.23,g/cm2,,,,,,,Gallagher_field_workPHD,
Syzygium oleosum,,,,91.43,g/cm2,,,,,,,Gallagher_field_workPHD,
Trema tomentosa,,,,56.19,g/cm2,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,74.33,g/cm2,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,83.91,g/cm2,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,87.53,g/cm2,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,94.82,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,49.12,g/cm2,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,104.28,g/cm2,,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,108.16,g/cm2,,,,,,,Gallagher_field_workPHD,
Wilkiea huegeliana,,,,88.19,g/cm2,,,,,,,Gallagher_field_workPHD,
Wilkiea huegeliana,,,,104.92,g/cm2,,,,,,,Gallagher_field_workPHD,
Wilkiea huegeliana,,,,108.83,g/cm2,,,,,,,Gallagher_field_workPHD,
Wilkiea huegeliana,,,,136.48,g/cm2,,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,113.09,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,54.71,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,55.08,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,58.72,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,66.43,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,95.08,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,37.52,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,50.87,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,79.95,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,82.72,g/cm2,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,92.37,g/cm2,,,,,,,Gallagher_field_workPHD,
Acronychia oblongifolia,,,,67.16,g/cm2,,,,,,,Gallagher_field_workPHD,
Cleistanthus cunninghamii,,,,81.25,g/cm2,,,,,,,Gallagher_field_workPHD,
Clematis aristata,,,,75.22,g/cm2,,,,,,,Gallagher_field_workPHD,
Clematis aristata,,,,78.03,g/cm2,,,,,,,Gallagher_field_workPHD,
Commersonia bartramia,,,,86.93,g/cm2,,,,,,,Gallagher_field_workPHD,
Cryptocarya triplinervis,,,,93.69,g/cm2,,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,79.84,g/cm2,,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,86.43,g/cm2,,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,99.27,g/cm2,,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,,,,100.59,g/cm2,,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,,,,24.79,g/cm2,,,,,,,Gallagher_field_workPHD,
Acronychia oblongifolia,,,,82.88,g/cm2,,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,,,,25.05,g/cm2,,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,,,,25.36,g/cm2,,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,,,,28.39,g/cm2,,,,,,,Gallagher_field_workPHD,
Diospyros australis,,,,127.84,g/cm2,,,,,,,Gallagher_field_workPHD,
Diospyros australis,,,,135.73,g/cm2,,,,,,,Gallagher_field_workPHD,
Diospyros australis,,,,138.25,g/cm2,,,,,,,Gallagher_field_workPHD,
Diospyros pentamera,,,,105.59,g/cm2,,,,,,,Gallagher_field_workPHD,
Diospyros pentamera,,,,118.22,g/cm2,,,,,,,Gallagher_field_workPHD,
Diospyros pentamera,,,,118.98,g/cm2,,,,,,,Gallagher_field_workPHD,
Diospyros pentamera,,,,141.63,g/cm2,,,,,,,Gallagher_field_workPHD,
Alangium villosum,,,,49.63,g/cm2,,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,83.23,g/cm2,,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,96.29,g/cm2,,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,105.85,g/cm2,,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,106.59,g/cm2,,,,,,,Gallagher_field_workPHD,
Dysoxylum rufum,,,,40.74,g/cm2,,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,76.15,g/cm2,,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,116.94,g/cm2,,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,74.07,g/cm2,,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,75.56,g/cm2,,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,82.05,g/cm2,,,,,,,Gallagher_field_workPHD,
Alangium villosum,,,,57.29,g/cm2,,,,,,,Gallagher_field_workPHD,
