Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering.onset,flowering.end,flowering.duration,source,source notes
Casuarina cunninghamiana,,,,,,,,25,,,,,,AUSTRAITS_dataset_24,
Rubus rosifolius,,,,,,,,1,,,,,,AUSTRAITS_dataset_24,
Notelaea longifolia,,,,,,,,3,,,,,,AUSTRAITS_dataset_24,
Polyscias elegans,,,,,,,,,,,,,,NSW flora online ,
Notelaea longifolia,,,,,,,,,,,,,,NSW flora online ,
Pandorea pandorana,,,,,,,,,,,,,,AUSTRAITS_dataset_24,
Pittosporum undulatum,,,,,,,,4,,,,,,AUSTRAITS_dataset_24,
Macadamia tetraphylla,,,,,,,,,,,,,,NSW flora online ,
Atractocarpus chartaceus,,,,,,,,,,,,,,NSW flora online ,
Rhodamnia rubescens,,,,,,,,,,,,,,NSW flora online ,
Schefflera actinophylla,,,,,,108.588,,20,,,,,,AUSTRAITS_dataset_56,
Clerodendrum floribundum,,,,,,,,,,,,,,NSW flora online ,
Lomandra longifolia,,,,,,,,0.8,,,,,,AUSTRAITS_dataset_24,
Argophyllum nullumense,,,,,,,,,,,,,,NSW flora online ,
Backhousia myrtifolia,,,,,,,,,,,,,,NSW flora online ,
Cissus antarctica,,,,,,,,,,,,,,AUSTRAITS_dataset_24,
Stephania japonica,,,,,,,,,,,,,,AUSTRAITS_dataset_24,
Tristaniopsis laurina,,,,,,,,15,,,,,,AUSTRAITS_dataset_24,
Tristaniopsis laurina,,,,,,,,,,,,,,NSW flora online ,
Calamus muelleri,,,,,,,,,,,,,,NSW flora online ,
Capparis arborea,,,,,,,,,,,,,,NSW flora online ,
Carissa ovata,,,,,,,,,,,,,,NSW flora online ,
Cayratia clematidea,,,,,,,,,,,,,,NSW flora online ,
Eupomatia laurina,,,,,,,,,,,,,,NSW flora online ,
Hippocratea barbata,,,,,,,,,,,,,,NSW flora online ,
Legnephora moorei,,,,,,,,,,,,,,NSW flora online ,
Leucaena leucocephala,,,,,,,,,,,,,,NSW flora online ,
Phyllanthus microcladus,,,,,,,,,,,,,,NSW flora online ,
Psychotria daphnoides,,,,,,,,,,,,,,NSW flora online ,
Psychotria loniceroides,,,,,,,,,,,,,,NSW flora online ,
Stephania japonica,,,,,,,,,,,,,,NSW flora online ,
Sterculia quadrifida,,,,,,,,,,,,,,NSW flora online ,
