Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering.onset,flowering.end,flowering.duration,source,source notes
Wikstroemia indica,,,,39.75,g/m2,8.36,0.58,2.5,,,,,,AUSTRAITS_dataset_39,
Syzygium luehmannii,,,,,,8.53,,,,,,,,Gallagher_field_workPHD,
Archirhodomyrtus beckleri,,,,,,8.64,,,,,,,,AUSTRAITS_dataset_68,
Archirhodomyrtus beckleri,13.155, mm2/g,,,,8.64,,8,,,,,,AUSTRAITS_dataset_8,
Archirhodomyrtus beckleri,13.155,mm2/mg,,,,8.64,,8,,,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,105.944, cm2/g,,,,8.646,,,,,,,,AUSTRAITS_dataset_12,
Maclura cochinchinensis,,,,,,8.66,,,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.66,,,,,,,,Gallagher_field_workPHD,
Backhousia myrtifolia,,,,,,8.663,688,35,,,,,,AUSTRAITS_dataset_49,
Myrsine variabilis,,,,,,8.67,,,,,,,,AUSTRAITS_dataset_68,
Syzygium australe,,,,,,8.74,,,,,,,,Gallagher_field_workPHD,
Aphananthe philippinensis,,,,,,8.75,593,35,,,,,,AUSTRAITS_dataset_49,
Cayratia clematidea,,,,,,8.75,,,6.283,,,,,AUSTRAITS_dataset_49,
Syzygium australe,,,,,,8.86,,,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,,,8.9,,,,,,,,Gallagher_field_workPHD,
Jagera pseudorhus,,,,,,8.978,630,15,,,,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,8.99,,,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.99,,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,137.132, cm2/g,,,,8.991,,,,,,,,AUSTRAITS_dataset_12,
Clematis aristata,,,,,,9,,,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,,,,,,9,,,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,,,,,,9,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,9.04,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,25.831, mm2/g,,,,9.041,,0.3,,,,,,AUSTRAITS_dataset_8,
Endiandra sieberi,,,,,,9.1,645,30,,,,,,AUSTRAITS_dataset_49,
Syzygium oleosum,13.011, mm2/g,,,,9.139,,8,,,,,,AUSTRAITS_dataset_8,
Syzygium oleosum,,,,,,9.14,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.16,,,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,,,,88.87,g/m2,9.52,0.69,1,,,,,,AUSTRAITS_dataset_39,
Guioa semiglauca,10.72,mm2/mg,,,,9.6,,1,27.223,,,,,AUSTRAITS_dataset_10,
Guioa semiglauca,,,,,,9.6,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,9.713,,,,,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,,,,,,9.73,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,9.78,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,,,9.8,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,9.8,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,9.84,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,15.6, mm2/g,,,,9.843,,2,,,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,15.6,mm2/mg,,,,9.843,,2,,,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,,,,,,9.86,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,31.851, mm2/g,,,,9.861,,20,,,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,31.851,mm2/mg,,,,9.861,,20,,,,,,AUSTRAITS_dataset_52,
Sarcopteryx stipata,,,,,,9.89,,,,,,,,Gallagher_field_workPHD,
Arytera distylis,,,,,,10,,,,,,,,AUSTRAITS_dataset_68,
Arytera distylis,,,,,,10,,,,,,,,AUSTRAITS_dataset_68,
Hodgkinsonia ovatiflora,,,,,,10,,,,,,,,AUSTRAITS_dataset_68,
Hodgkinsonia ovatiflora,,,,,,10,,,,,,,,AUSTRAITS_dataset_68,
Ochna serrulata,,,,,,10.05,,,,,,,,AUSTRAITS_dataset_68,
Ochna serrulata,19.181,mm2/mg,,,,10.055,,3,,,,,,AUSTRAITS_dataset_52,
Ochna serrulata,19.181, mm2/g,,,,10.055,,3,,,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,23.353, mm2/g,,,,10.065,,20,,,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,23.353,mm2/mg,,,,10.065,,20,,,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,,,,,,10.07,,,,,,,,AUSTRAITS_dataset_68,
Lantana camara,20.82,mm2/mg,,,,10.08,,3,23.001,,,,,AUSTRAITS_dataset_10,
Embelia australiana,,,,,,10.08,,,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,10.08,,,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,10.08,,,,,,,,AUSTRAITS_dataset_68,
Lantana camara,,,,,,10.08,,,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,10.08,,,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,10.08,,,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,10.08,,,,,,,,AUSTRAITS_dataset_68,
Elattostachys xylocarpa,,,,,,10.083,,,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,90.769, cm2/g,,,,10.097,,,,,,,,AUSTRAITS_dataset_12,
Bridelia leichhardtii,,,,,,10.264,,15,,,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,23.637,mm2/mg,,,,10.377,,,,,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,23.637, mm2/g,,,,10.377,,,,,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,10.456,,,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,10.431, mm2/g,,,,10.456,,5,,,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,10.431,mm2/mg,,,,10.456,,5,,,,,,AUSTRAITS_dataset_52,
Arytera distylis,,,,,,10.5,632.1,20,,,,,,AUSTRAITS_dataset_49,
Clematis aristata,,,,,,10.5,,,12.566,,,,,AUSTRAITS_dataset_49,
Diospyros pentamera,,,,,,10.5,,,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,10.5,,,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,10.5,,,,,,,,AUSTRAITS_dataset_68,
Hodgkinsonia ovatiflora,,,,,,10.5,825.6,35,,,,,,AUSTRAITS_dataset_49,
Melodinus australis,,,,,,10.5,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,10.5,,,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,10.5,,,,,,,,AUSTRAITS_dataset_68,
Pleurostylia opposita,,,,,,10.5,,15,,,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,,,,,,10.5,,,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,,,,,,10.5,,,,,,,,AUSTRAITS_dataset_68,
Archirhodomyrtus beckleri,,,,,,10.535,,10,,,,,,AUSTRAITS_dataset_49,
Elattostachys xylocarpa,,,,,,10.588,662.2,25,,,,,,AUSTRAITS_dataset_49,
Glochidion ferdinandi,11.87,mm2/mg,,,,10.7,,6,15.751,,,,,AUSTRAITS_dataset_10,
Guioa semiglauca,,,,,,10.833,,,,,,,,AUSTRAITS_dataset_68,
Guioa semiglauca,,,,,,10.833,,,,,,,,AUSTRAITS_dataset_68,
Guioa semiglauca,,,,,,10.833,,,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,11.069,,,16.755,,,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,11.1,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,11.13,,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,,,11.21,,,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,6.71,mm2/mg,,,,11.27,,20,242.304,,,,,AUSTRAITS_dataset_10,
Cryptocarya laevigata,,,,,,11.33,,,,,,,,AUSTRAITS_dataset_68,
Toona ciliata,15.855,mm2/mg,,,,11.349,,4,,,,,,AUSTRAITS_dataset_52,
Guioa semiglauca,,,,,,11.375,662.2,40,,,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,,,,,,11.375,,,,,,,,AUSTRAITS_dataset_49,
Syzygium australe,,,,,,11.375,590,24,,,,,,AUSTRAITS_dataset_49,
Cissus hypoglauca,,,,,,11.438,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,11.44,,,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,,,11.51,,,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,11.51,,,,,,,,Gallagher_field_workPHD,
Backhousia myrtifolia,,,,,,11.57,,,,,,,,AUSTRAITS_dataset_68,
Alchornea ilicifolia,,,,,,11.67,,,,,,,,AUSTRAITS_dataset_68,
Atractocarpus chartaceus,,,,,,11.67,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,11.67,,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,,,11.77,,,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,,,11.91,,,,,,,,AUSTRAITS_dataset_68,
Cleistanthus cunninghamii,,,,,,12,,,,,,,,AUSTRAITS_dataset_68,
Cleistanthus cunninghamii,,,,,,12,,,,,,,,AUSTRAITS_dataset_68,
Aphananthe philippinensis,,,,,,12.01,,,,,,,,Gallagher_field_workPHD,
Atractocarpus chartaceus,,,,,,12.25,,4,,,,,,AUSTRAITS_dataset_49,
Syzygium oleosum,,,,,,12.25,790,12,,,,,,AUSTRAITS_dataset_49,
Cissus antarctica,,,,,,12.44,,,,,,,,Gallagher_field_workPHD,
Hippocratea barbata,,,,,,12.47,,,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,,,,,,12.47,,,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,,,,,,12.47,,,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,,,12.5,,,,,,,,AUSTRAITS_dataset_68,
Syzygium oleosum,,,,,,12.5,,,,,,,,AUSTRAITS_dataset_68,
Syzygium oleosum,,,,,,12.5,,,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,12.513,,20,,,,,,AUSTRAITS_dataset_49,
Glochidion ferdinandi,,,,,,12.513,597.7,35,,,,,,AUSTRAITS_dataset_49,
Cissus hypoglauca,8.528, mm2/g,,,,12.59,,15,,,,,,AUSTRAITS_dataset_8,
Cissus hypoglauca,,,,,,12.59,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,8.528,mm2/mg,,,,12.59,,15,,,,,,AUSTRAITS_dataset_52,
Cleistanthus cunninghamii,,,,,,12.6,786.9,25,,,,,,AUSTRAITS_dataset_49,
Daphnandra tenuipes,,,,,,12.75,,,,,,,,AUSTRAITS_dataset_68,
Elaeocarpus obovatus,,,,,,12.77,,,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,51.646, mm2/g,,,,12.777,,1.5,,,,,,AUSTRAITS_dataset_8,
Dioscorea transversa,,,,,,12.78,,,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,12.82,,,,,,,,Gallagher_field_workPHD,
Callerya megasperma,,,,,,12.833,,,,,,,,AUSTRAITS_dataset_68,
Sarcopteryx stipata,,,,,,12.833,,,,,,,,AUSTRAITS_dataset_68,
Sarcopteryx stipata,,,,,,12.833,,,,,,,,AUSTRAITS_dataset_68,
Sarcopteryx stipata,,,,,,12.833,,,,,,,,AUSTRAITS_dataset_68,
Trema tomentosa,,,,,,12.95,,,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,,,13,,,,,,,,AUSTRAITS_dataset_68,
Ligustrum sinense,8.96,mm2/mg,,,,13.07,,3,22.477,,,,,AUSTRAITS_dataset_10,
Ligustrum sinense,,,,,,13.07,,,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,13.1,,,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,,,13.125,606.3,40,,,,,,AUSTRAITS_dataset_49,
Myrsine variabilis,,,,,,13.125,710,10,,,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,7.968,m2/kg,,,,13.183,0.53,,,,,,,AUSTRAITS_dataset_28,
Morinda jasminoides,,,,,,13.33,,,,,,,,Gallagher_field_workPHD,
Daphnandra tenuipes,,,,,,13.388,563.3,20,,,,,,AUSTRAITS_dataset_49,
Sarcopteryx stipata,,,,,,13.475,838.5,40,,,,,,AUSTRAITS_dataset_49,
Callerya megasperma,,,,,,13.48,,,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,13.75,,,,,,,,AUSTRAITS_dataset_68,
Atalaya salicifolia,,,,,,13.781,690,12,,,,,,AUSTRAITS_dataset_49,
Diospyros pentamera,,,,,,13.85,,,,,,,,Gallagher_field_workPHD,
Tristaniopsis laurina,,,,,,13.88,,,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,13.93,,,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,,,14,,,,,,,,AUSTRAITS_dataset_68,
Acmena smithii,,,,,,14,,,,,,,,AUSTRAITS_dataset_68,
Cryptocarya sclerophylla,,,,,,14,,15,,,,,,AUSTRAITS_dataset_49,
Pandorea pandorana,,,,,,14.02,,,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,14.06,,,,,,,,Gallagher_field_workPHD,
Diospyros australis,6.065,mm2/mg,,,,14.249,,2,,,,,,AUSTRAITS_dataset_52,
Diospyros australis,6.065, mm2/g,,,,14.249,,2,,,,,,AUSTRAITS_dataset_8,
Diospyros australis,,,,,,14.25,,,,,,,,AUSTRAITS_dataset_68,
Pararchidendron pruinosum,,,,,,14.333,500,20,,,,,,AUSTRAITS_dataset_49,
Flagellaria indica,,,,,,14.38,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,18.496,mm2/mg,,,,14.382,,2,,,,,,AUSTRAITS_dataset_52,
Flagellaria indica,18.496, mm2/g,,,,14.382,,2,,,,,,AUSTRAITS_dataset_8,
Tristaniopsis laurina,,,,,,14.569,825.6,30,,,,,,AUSTRAITS_dataset_49,
Heritiera trifoliolata,,,,,,14.667,,,,,,,,AUSTRAITS_dataset_68,
Heritiera trifoliolata,,,,,,14.667,,,,,,,,AUSTRAITS_dataset_68,
Beilschmiedia obtusifolia,,,,,,14.67,,,,,,,,AUSTRAITS_dataset_68,
Beilschmiedia obtusifolia,,,,,,14.67,,,,,,,,AUSTRAITS_dataset_68,
Beilschmiedia obtusifolia,,,,,,14.67,,,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,14.7,569,20,,,,,,AUSTRAITS_dataset_49,
Psydrax odorata,,,,,,14.7,780,15,,,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,10.855,cm2/g,,,,14.798,,3.8,,,,,,AUSTRAITS_dataset_13,
Synoum glandulosum,,,,,,14.798,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,85.488, cm2/g,,,,14.807,,,,,,,,AUSTRAITS_dataset_12,
Guioa semiglauca,,,,,,14.9,,,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,7.972,mm2/mg,,,,14.907,,,,,,,,AUSTRAITS_dataset_52,
Alphitonia excelsa,,,,,,14.91,,,,,,,,AUSTRAITS_dataset_68,
Cryptocarya triplinervis,,,,,,15,,,,,,,,AUSTRAITS_dataset_68,
Myrsine variabilis,,,,,,15.07,,,,,,,,Gallagher_field_workPHD,
Mallotus discolor,,,,,,15.17,,,,,,,,AUSTRAITS_dataset_68,
Pseudoweinmannia lachnocarpa,,,,,,15.356,727,35,,,,,,AUSTRAITS_dataset_49,
Lomandra longifolia,,,,,,15.39,,,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,15.48,,,,,,,,AUSTRAITS_dataset_68,
Archirhodomyrtus beckleri,,,,118.5,g/m2,15.58,0.53,7,,,,,,AUSTRAITS_dataset_39,
Dioscorea transversa,,,,,,15.65,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,15.67,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,15.67,,,,,,,,AUSTRAITS_dataset_68,
Cupaniopsis serrata,,,,,,15.75,,9,293.215,,,,,AUSTRAITS_dataset_49,
Cryptocarya triplinervis,,,,,,15.81,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,15.84,,,,,,,,Gallagher_field_workPHD,
Mallotus discolor,,,,,,15.925,580.5,30,,,,,,AUSTRAITS_dataset_49,
Parsonsia straminea,,,,,,16.06,,,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,14.522,mm2/mg,,,,16.119,,,,,,,,AUSTRAITS_dataset_52,
Flagellaria indica,14.522, mm2/g,,,,16.119,,,,,,,,AUSTRAITS_dataset_8,
Flagellaria indica,,,,,,16.12,,,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,16.15,,,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,,,16.21,,,,,,,,Gallagher_field_workPHD,
Acacia bakeri,,,,,,16.25,,,,,,,,AUSTRAITS_dataset_68,
Capparis arborea,,,,,,16.25,,,,,,,,AUSTRAITS_dataset_68,
Capparis arborea,,,,,,16.25,,,,,,,,AUSTRAITS_dataset_68,
Rhodamnia rubescens,,,,,,16.25,,,,,,,,AUSTRAITS_dataset_68,
Endiandra discolor,,,,,,16.33,,,,,,,,AUSTRAITS_dataset_68,
Endiandra discolor,,,,,,16.33,,,,,,,,AUSTRAITS_dataset_68,
Capparis arborea,,,,,,16.35,,,,,,,,Gallagher_field_workPHD,
Pararchidendron pruinosum,,,,,,16.43,,,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,10.156,mm2/mg,,,,16.489,,1.2,,,,,,AUSTRAITS_dataset_52,
Psychotria loniceroides,10.156, mm2/g,,,,16.489,,1.2,,,,,,AUSTRAITS_dataset_8,
Psychotria loniceroides,,,,,,16.49,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,16.5,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,16.5,,,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,16.5,,,,,,,,Gallagher_field_workPHD,
Acronychia oblongifolia,,,,,,16.52,537.5,20,,,,,,AUSTRAITS_dataset_49,
Diospyros geminata,,,,,,16.538,,10,,,,,,AUSTRAITS_dataset_49,
Endiandra virens,,,,,,16.625,,10,,,,,,AUSTRAITS_dataset_49,
Psychotria loniceroides,,,,,,16.66,,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,,,16.8,,,,,,,,Gallagher_field_workPHD,
Rhodamnia rubescens,,,,,,16.87,,,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,12.059, mm2/g,,,,16.92,,8.5,,,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,16.92,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,16.94,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,16.942,,,,,,,,AUSTRAITS_dataset_68,
Ficus obliqua,,,,,,16.979,510,50,,,,,,AUSTRAITS_dataset_49,
Polyscias elegans,,,,,,16.98,,,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,,,17.01,,,,,,,,Gallagher_field_workPHD,
Acacia bakeri,,,,,,17.063,774,40,70.686,,,,,AUSTRAITS_dataset_49,
Rhodamnia rubescens,,,,,,17.063,662.2,30,,,,,,AUSTRAITS_dataset_49,
Streblus brunonianus,,,,,,17.063,650,30,,,,,,AUSTRAITS_dataset_49,
Dioscorea transversa,,,,,,17.12,,,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,,,,,,17.12,,,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,,,17.136,,,,,,,,AUSTRAITS_dataset_49,
Hippocratea barbata,,,,,,17.15,,,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,,,,,,17.15,,,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,,,,132.1,g/m2,17.16,,,,,,,,AUSTRAITS_dataset_43,
Syzygium australe,,,,,,17.17,,,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,,,,132.1,g/m2,17.2,0.69,8,,,,,,AUSTRAITS_dataset_61,
Alphitonia excelsa,,,,,,17.255,562,20,,,,,,AUSTRAITS_dataset_49,
Embelia australiana,,,,,,17.31,,,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,17.31,,,,,,,,Gallagher_field_workPHD,
Carex appressa,,,,,,17.48,,,,,,,,AUSTRAITS_dataset_68,
Ficus coronata,,,,,,17.5,,,,,,,,AUSTRAITS_dataset_68,
Alphitonia excelsa,17.031,mm2/mg,,,,17.587,,35,,,,,,AUSTRAITS_dataset_52,
Alphitonia excelsa,,,,,,17.59,,,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,17.71,,,,,,,,Gallagher_field_workPHD,
Capparis arborea,,,,,,17.83,,,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,17.836,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,17.84,,,,,,,,Gallagher_field_workPHD,
Cryptocarya bidwillii,,,,,,17.85,645,20,,,,,,AUSTRAITS_dataset_49,
Mischocarpus australis,,,,,,17.85,649.3,35,,,,,,AUSTRAITS_dataset_49,
Cryptocarya glaucescens,,,,,,18,,,,,,,,AUSTRAITS_dataset_68,
Cryptocarya obovata,,,,,,18,,,,,,,,AUSTRAITS_dataset_68,
Cryptocarya obovata,,,,,,18,,,,,,,,AUSTRAITS_dataset_68,
Pseudoweinmannia lachnocarpa,,,,,,18,,,,,,,,AUSTRAITS_dataset_68,
Capparis velutina,,,,,,18.2,,15,47.124,,,,,AUSTRAITS_dataset_49,
Endiandra discolor,,,,,,18.2,548,25,,,,,,AUSTRAITS_dataset_49,
Helicia glabriflora,,,,,,18.33,,,,,,,,AUSTRAITS_dataset_68,
Rhodomyrtus psidioides,,,,,,18.34,,,,,,,,Gallagher_field_workPHD,
Ficus coronata,,,,,,18.375,399.9,20,,,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,,,,,,18.375,513,20,,,,,,AUSTRAITS_dataset_49,
Glochidion ferdinandi,11.869,mm2/mg,,,,18.402,,4,,,,,,AUSTRAITS_dataset_52,
Glochidion ferdinandi,11.869, mm2/g,,,,18.402,,4,,,,,,AUSTRAITS_dataset_8,
Cissus hypoglauca,,,,,,18.61,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,18.61,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,18.61,,,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,18.61,,,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,,,18.67,,,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,18.67,,,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,14.137, mm2/g,,,,18.671,,13,,,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,14.137,mm2/mg,,,,18.671,,13,,,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,,,,,,18.671,,,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,18.681,,5,,,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,,,,,,18.72,,,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,,,18.74,,,,,,,,Gallagher_field_workPHD,
Arytera divaricata,,,,,,18.75,,,,,,,,AUSTRAITS_dataset_68,
Arytera divaricata,,,,,,18.75,,,,,,,,AUSTRAITS_dataset_68,
Drypetes deplanchei,,,,,,18.802,,25,,,,,,AUSTRAITS_dataset_49,
Notelaea microcarpa,,,,,,18.84,,,,,,,,AUSTRAITS_dataset_68,
Notelaea microcarpa,8.173, mm2/g,,,,18.844,,3,,,,,,AUSTRAITS_dataset_8,
Notelaea microcarpa,8.173,mm2/mg,,,,18.844,,3,,,,,,AUSTRAITS_dataset_52,
Cryptocarya obovata,,,,,,18.9,550.4,45,,,,,,AUSTRAITS_dataset_49,
psychotria spp. 'shute harbour',,,,,,18.9,,5,,,,,,AUSTRAITS_dataset_49,
Alangium villosum,,,,,,19,,,,,,,,AUSTRAITS_dataset_68,
Alangium villosum,,,,,,19,,,,,,,,AUSTRAITS_dataset_68,
Alangium villosum,,,,,,19,,,,,,,,AUSTRAITS_dataset_68,
Cryptocarya glaucescens,,,,,,19,,,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,10.107,mm2/mg,,,,19.004,,1.2,,,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,10.107, mm2/g,,,,19.004,,1.2,,,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,19.004,,,,,,,,AUSTRAITS_dataset_68,
Euroschinus falcatus,,,,,,19.1,,,,,,,,Gallagher_field_workPHD,
Cinnamomum oliveri,,,,,,19.17,,,,,,,,AUSTRAITS_dataset_68,
Cinnamomum oliveri,,,,,,19.17,,,,,,,,AUSTRAITS_dataset_68,
Cinnamomum oliveri,,,,,,19.17,,,,,,,,AUSTRAITS_dataset_68,
Myrsine variabilis,,,,,,19.18,,,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,,,,,,19.18,,,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,14.261, mm2/g,,,,19.184,,1,,,,,,AUSTRAITS_dataset_8,
Psychotria loniceroides,14.261,mm2/mg,,,,19.184,,1,,,,,,AUSTRAITS_dataset_52,
Helicia glabriflora,,,,,,19.25,576.2,30,,,,,,AUSTRAITS_dataset_49,
Daphnandra apatela,,,,,,19.25,,,,,,,,AUSTRAITS_dataset_68,
Daphnandra apatela,,,,,,19.25,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,,,,,,19.25,,,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,,,,,,19.25,,,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,7.395, mm2/g,,,,19.28,,0.1,,,,,,AUSTRAITS_dataset_8,
Diospyros australis,7.395,mm2/mg,,,,19.28,,0.1,,,,,,AUSTRAITS_dataset_52,
Diospyros australis,,,,,,19.28,,,,,,,,AUSTRAITS_dataset_68,
Lomandra longifolia,,,,,,19.54,,,,,,,,AUSTRAITS_dataset_68,
