"","gaugeID","gaugeName","MDF","CV","MDFAnnZer","CVAnnZer","MDFMDFWet","MDFMDFDry","CVMDFWet","CVMDFDry","HSPeak","HSMeanDur","MDFAnnHSNum","CVAnnHSNum","CVAnnHSPeak","CVAnnHSMeanDur","LSPeak","LSMeanDur","MDFAnnLSNum","CVAnnLSNum","CVAnnLSPeak","CVAnnLSMeanDur","MRateRise","MRateFall","CVAnnMRateRise","CVAnnMRateFall","BFI","CVAnnBFI","PS1YrARI","PS2YrARI","PS10YrARI","C_MDFM","M_MDFM","C_MinM","M_MinM","C_MaxM","M_MaxM","regulation","site","siteName","replicate","DECLAT","DECLONG","X","FDis","FDiv","FRic","FEve","RaoQ","nbsp","simpson","FunRao","redun","richness"
"1","138001A","138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv]",2482.439,5.878,1.727,2.614,1.333501045,0.756948308,1.272,1.633,27.27722454,4.533,2.727,0.881,0.825,0.438,0.086182581,35.074,6.909,0.454,0.431,0.604,0.750894584,0.300746161,1.145,1.026,0.196,0.405,17.00050555,35.22671333,100.8330118,0.061,0.08,0.029,0.086,0.26,0.068,0.084167315,"S37"," 37. Mary River at Bauple-Woolooga Road ",1,-25.8861,152.4864,"138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv]",0.160676072029973,0.675856439031597,0.0342788985978073,0.666822193709909,0.0358844210691089,32,0.85643209409892,0.421784671521462,0.434647422577458,37
"2","138001A","138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv]",2482.439,5.878,1.727,2.614,1.333501045,0.756948308,1.272,1.633,27.27722454,4.533,2.727,0.881,0.825,0.438,0.086182581,35.074,6.909,0.454,0.431,0.604,0.750894584,0.300746161,1.145,1.026,0.196,0.405,17.00050555,35.22671333,100.8330118,0.061,0.08,0.029,0.086,0.26,0.068,0.084167315,"S38","38. Mary River at Orphants Road ",2,-25.9533,152.4956,"138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv]",0.211238335219727,0.875095562792485,0.00206516883944874,0.677350816186986,0.0504914842348297,14,0.855084874154803,0.475325976968898,0.379758897185905,16
"3","138002C","138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv]",116.234,9.583,101.576,0.967,1.395744791,0.719178554,1.384,2.606,60.88900838,4.528,2.182,0.94,0.813,0.547,0.073068121,57.578,5.727,0.505,0.773,0.955,2.694796703,1.133136604,1.424,2.255,0.123,0.799,17.96204209,69.50112704,219.7135348,0.185,0.074,0.121,0.068,0.457,0.042,0.182718591,"S32","32. Wide Bay Creek upstream of gauge 138002c ",2,-26.0047,152.4072,"138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv]",0.198956741767431,0.756872776949472,0.00504903721360853,0.645182921590076,0.0448924220785201,16,0.849716770663628,0.451423024686918,0.398293745976709,17
"4","138002C","138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv]",116.234,9.583,101.576,0.967,1.395744791,0.719178554,1.384,2.606,60.88900838,4.528,2.182,0.94,0.813,0.547,0.073068121,57.578,5.727,0.505,0.773,0.955,2.694796703,1.133136604,1.424,2.255,0.123,0.799,17.96204209,69.50112704,219.7135348,0.185,0.074,0.121,0.068,0.457,0.042,0.182718591,"S31","31. Wide Bay Creek downstream of gauge 138002c ",1,-26.0019,152.4286,"138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv]",0.247789546514602,0.898246877477274,0.0394006301557747,0.53152775536474,0.0623586080626557,26,0.86552561685257,0.505226014824539,0.360299602028031,29
"5","138003D","138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv]",40.65,11.56,37.034,1.414,1.362287823,0.75099631,1.456,2.471,67.46410824,3.738,2.103,0.903,1.08,0.472,0.084747847,42.371,6.966,0.456,0.67,0.719,1.899434194,0.772792128,1.692,2.118,0.141,0.566,16.03121771,61.36932349,263.8699385,0.112,0.067,0.049,0.077,0.38,0.047,0.157410179,"S23","23. Glastonbury Creek at 2 km from Mary River confluence ",2,-26.1544,152.5528,"138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv]",0.177668984472659,0.573192396071769,0.0174111329461138,0.663515087468928,0.0457290965559506,15,0.508203285843499,0.323160131984576,0.185043153858922,19
"6","138003D","138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv]",40.65,11.56,37.034,1.414,1.362287823,0.75099631,1.456,2.471,67.46410824,3.738,2.103,0.903,1.08,0.472,0.084747847,42.371,6.966,0.456,0.67,0.719,1.899434194,0.772792128,1.692,2.118,0.141,0.566,16.03121771,61.36932349,263.8699385,0.112,0.067,0.049,0.077,0.38,0.047,0.157410179,"S17","17. Glastonbury Creek at Greendale Road Crossing ",1,-26.183528,152.527611,"138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv]",0.259523154440808,0.906140935000186,0.0608542353888612,0.592306255451148,0.0685368619926969,29,0.835466749103242,0.517086628381958,0.318380120721284,38
"7","138004AB","138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv]",274.858,7.339,56.606,1.306,1.353007735,0.603340634,1.219,2.231,44.89518588,4.419,2.242,0.829,0.811,0.425,0.058321024,40.891,7.606,0.325,0.519,0.516,1.302610803,0.598883787,1.166,1.139,0.1,0.632,22.19790583,63.38431845,154.3072714,0.143,0.086,0.08,0.091,0.497,0.045,0.055746011,"S34","34. Munna Creek downstream of gauge 138004b ",2,-25.9014,152.35,"138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv]",0.165390247103649,0.595722834536899,5.03455746663236e-05,0.584339920633081,0.0356983429621497,8,0.663949877380024,0.369344475060009,0.294605402320015,9
"8","138004AB","138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv]",274.858,7.339,56.606,1.306,1.353007735,0.603340634,1.219,2.231,44.89518588,4.419,2.242,0.829,0.811,0.425,0.058321024,40.891,7.606,0.325,0.519,0.516,1.302610803,0.598883787,1.166,1.139,0.1,0.632,22.19790583,63.38431845,154.3072714,0.143,0.086,0.08,0.091,0.497,0.045,0.055746011,"S33","33. Munna Creek at gauge 138004b",1,-25.9042,152.3489,"138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv]",0.12107973676734,0.73054796749868,0.0569154108264956,0.575674009344459,0.0265855919203117,24,0.392029669784035,0.230017179994466,0.162012489789569,27
"9","138102C","138102C [138102C_amamoor.csv]",75.575,12.678,11.565,2.571,1.476546477,0.664082038,1.468,2.283,66.54781343,3.314,2.217,0.977,1.163,0.401,0.084922263,42.049,7,0.423,0.491,0.76,1.615004962,0.759523652,1.609,2.271,0.12,0.567,20.14548462,61.64512074,262.4249421,0.127,0.095,0.033,0.097,0.402,0.055,0.139512725,"S9","9. Amamoor Creek at Harrys Creek Road2 ",1,-26.346139,152.656028,"138102C [138102C_amamoor.csv]",0.233207861669881,0.873493458850025,0.114610860018579,0.59364556408487,0.0573325293277639,42,0.931604573169762,0.521448475852439,0.410156097317322,48
"10","138102C","138102C [138102C_amamoor.csv]",75.575,12.678,11.565,2.571,1.476546477,0.664082038,1.468,2.283,66.54781343,3.314,2.217,0.977,1.163,0.401,0.084922263,42.049,7,0.423,0.491,0.76,1.615004962,0.759523652,1.609,2.271,0.12,0.567,20.14548462,61.64512074,262.4249421,0.127,0.095,0.033,0.097,0.402,0.055,0.139512725,"S22","22. Amamoor Creek at Zachariah Lane",2,-26.3669,152.6223,"138102C [138102C_amamoor.csv]",0.235438190600596,0.788929973538075,0.107977864650821,0.599470500893907,0.0593125683750845,32,0.872952208241837,0.504255010423372,0.368697197818465,35
