"","Taxon","SLA","source"
"7","Acacia fimbriata",8.88,"AUSTRAITS_dataset_5"
"22","Acmena smithii",10.41,"AUSTRAITS_dataset_32"
"25","Acmena smithii",8.84251481121231,"Gallagher_field_workPHD"
"26","Acmena smithii",8.19672131147541,"AUSTRAITS_dataset_32"
"39","Acronychia oblongifolia",14.8898153662895,"Gallagher_field_workPHD"
"40","Acronychia oblongifolia",12.0656370656371,"Gallagher_field_workPHD"
"41","Acronychia oblongifolia",18.09,"AUSTRAITS_dataset_10"
"46","Acronychia oblongifolia",13.47730413,"raw data from Gallagher RV & Leishman MR (2012). Contrasting patterns of community assembly in lianas and trees from temperate Australia. Oikos 121: 2026-2035"
"60","Alangium villosum",14.7405660377358,"AUSTRAITS_dataset_39"
"63","Alangium villosum",15.616,"AUSTRAITS_dataset_28"
"66","Alangium villosum",19.461,"AUSTRAITS_dataset_28"
"67","Alangium villosum",19.214,"AUSTRAITS_dataset_28"
"68","Alangium villosum",20.1491033649003,"Gallagher_field_workPHD"
"69","Alangium villosum",17.4550532379124,"Gallagher_field_workPHD"
"86","Alphitonia excelsa",7.972,"AUSTRAITS_dataset_52"
"88","Alphitonia excelsa",7.57002271006813,"AUSTRAITS_dataset_43"
"91","Alphitonia excelsa",17.031,"AUSTRAITS_dataset_52"
"93","Alphitonia excelsa",9.897,"AUSTRAITS_dataset_8"
"98","Alphitonia excelsa",12.4069478908189,"AUSTRAITS_dataset_43"
"102","Alphitonia excelsa",9.44,"AUSTRAITS_dataset_32"
"127","Aphananthe philippinensis",13.9625802848366,"Gallagher_field_workPHD"
"135","Aphananthe philippinensis",15.86007204,"C. James SEQLD field data"
"136","Aphananthe philippinensis",18.30862097,"C. James SEQLD field data"
"137","Aphananthe philippinensis",12.23707656,"C. James SEQLD field data"
"154","Archirhodomyrtus beckleri",11.899,"AUSTRAITS_dataset_8"
"158","Archirhodomyrtus beckleri",13.155,"AUSTRAITS_dataset_8"
"161","Archirhodomyrtus beckleri",8.43881856540084,"AUSTRAITS_dataset_39"
"2808","Archontophoenix spp",17.341," http://onlinelibrary.wiley.com.simsrad.net.ocs.mq.edu.au/doi/10.1111/gcb.12531/full (Predicting plant invasions under climate change: are species distribution models validated by field trials?)"
"176","Argyrodendron trifoliolatum",11.018,"AUSTRAITS_dataset_52"
"178","Argyrodendron trifoliolatum",12.30012300123,"AUSTRAITS_dataset_32"
"179","Argyrodendron trifoliolatum",8.13008130081301,"AUSTRAITS_dataset_32"
"192","Argyrodendron trifoliolatum",12.60027611,"C. James SEQLD field data"
"193","Argyrodendron trifoliolatum",13.60467623,"C. James SEQLD field data"
"213","Arytera divaricata",11.0180696342001,"Gallagher_field_workPHD"
"214","Arytera divaricata",10.1317122593718,"Gallagher_field_workPHD"
"215","Arytera divaricata",11.4311842706904,"Gallagher_field_workPHD"
"216","Arytera divaricata",11.2233445566779,"Gallagher_field_workPHD"
"237","Backhousia myrtifolia",8.55,"AUSTRAITS_dataset_10"
"249","Backhousia myrtifolia",11.97272995,"J. Lawson"
"259","Beilschmiedia obtusifolia",10.9878035380727,"Gallagher_field_workPHD"
"266","Breynia oblongifolia",10.15,"AUSTRAITS_dataset_3"
"267","Breynia oblongifolia",15.76,"AUSTRAITS_dataset_10"
"273","Breynia oblongifolia",14,"AUSTRAITS_dataset_8"
"277","Breynia oblongifolia",11.951,"AUSTRAITS_dataset_8"
"280","Breynia oblongifolia",8.6551,"AUSTRAITS_dataset_12"
"282","Breynia oblongifolia",17.198,"AUSTRAITS_dataset_8"
"316","Calamus muelleri",12.6678489992399,"Gallagher_field_workPHD"
"317","Calamus muelleri",13.418,"Gallagher_field_workPHD"
"348","Callistemon viminalis",7.783176551,"C. James SEQLD field data"
"349","Callistemon viminalis",10.52503171,"C. James SEQLD field data"
"350","Callistemon viminalis",7.72893307,"C. James SEQLD field data"
"370","Capparis arborea",7.522,"AUSTRAITS_dataset_28"
"371","Capparis arborea",8.463,"AUSTRAITS_dataset_28"
"372","Capparis arborea",7.417,"AUSTRAITS_dataset_28"
"374","Capparis arborea",11.3934146063575,"Gallagher_field_workPHD"
"375","Capparis arborea",9.67117988394584,"Gallagher_field_workPHD"
"2742","Cardiospermum grandiflorum",23.97813288,"Kyle & Leishman"
"385","Carex appressa",14.14,"AUSTRAITS_dataset_10"
"2779","Carex spp",14.14,"AUSTRAITS_dataset_10"
"405","Castanospermum australe",8.54700854700855,"AUSTRAITS_dataset_32"
"406","Castanospermum australe",8.5536,"AUSTRAITS_dataset_67"
"411","Castanospermum australe",16.8918918918919,"AUSTRAITS_dataset_32"
"412","Castanospermum australe",12.3053,"AUSTRAITS_dataset_32"
"413","Castanospermum australe",13.524,"AUSTRAITS_dataset_52"
"423","Castanospermum australe",22.6177949,"C. James SEQLD field data"
"424","Castanospermum australe",20.12522841,"C. James SEQLD field data"
"428","Casuarina cunninghamiana",3.724,"AUSTRAITS_dataset_8"
"431","Casuarina cunninghamiana",3.5164,"AUSTRAITS_dataset_32"
"439","Casuarina cunninghamiana",1.409440228,"Kyle_Hunter Plant Traits"
"443","Casuarina cunninghamiana",2.650923594,"C. James SEQLD field data"
"444","Casuarina littoralis",4.57,"AUSTRAITS_dataset_10"
"448","Cayratia clematidea",18.52,"AUSTRAITS_dataset_10"
"458","Cayratia clematidea",59.0667454223272,"Gallagher_field_workPHD"
"459","Cayratia clematidea",37.9218809252939,"Gallagher_field_workPHD"
"460","Cayratia clematidea",49.189,"Gallagher_field_workPHD"
"468","Cayratia clematidea",40.73803,"from raw data in Anna-Maria Llorens, Michelle R. Leishman. 2008. Climbing strategies determine light availability for both vines and associated structural hosts. Australian Journal of Botany 56, 527–534."
"471","Celtis sinensis",19.6618167518679,"http://www.sciencedirect.com/science/article/pii/S1146609X06000452"
"475","Celtis sinensis",23.86062757,"C. James SEQLD field data"
"476","Celtis sinensis",39.20672017,"C. James SEQLD field data"
"483","Cinnamomum camphora",16.44677541,"C. James SEQLD field data"
"505","Cissus antarctica",11.076,"AUSTRAITS_dataset_52"
"517","Cissus antarctica",18.973,"AUSTRAITS_dataset_8"
"520","Cissus antarctica",21.9298245614035,"Gallagher_field_workPHD"
"521","Cissus antarctica",20.3583061889251,"Gallagher_field_workPHD"
"522","Cissus antarctica",18.2781941144215,"Gallagher_field_workPHD"
"523","Cissus antarctica",18.1554103122731,"Gallagher_field_workPHD"
"524","Cissus antarctica",17.0299727520436,"Gallagher_field_workPHD"
"525","Cissus antarctica",15.053439710974,"Gallagher_field_workPHD"
"526","Cissus antarctica",10.51745898191,"Gallagher_field_workPHD"
"527","Cissus antarctica",15.024,"Gallagher_field_workPHD"
"533","Cissus antarctica",9.91,"Mueller JM. 2009.  Conservation Management Under Climate Change: On Tropical Drought Resistance, Non-native Species Response to Increasing Disturbance, and Assisted Migration. MSc thesis, University of Notre Dame."
"537","Cissus hypoglauca",12.16,"AUSTRAITS_dataset_3"
"538","Cissus hypoglauca",13.22,"AUSTRAITS_dataset_10"
"541","Cissus hypoglauca",8.528,"AUSTRAITS_dataset_8"
"560","Cissus hypoglauca",15.833,"AUSTRAITS_dataset_8"
"563","Cissus hypoglauca",26.6524520255863,"Gallagher_field_workPHD"
"564","Cissus hypoglauca",19.657951641439,"Gallagher_field_workPHD"
"565","Cissus hypoglauca",12.5078173858662,"Gallagher_field_workPHD"
"566","Cissus hypoglauca",12.0889748549323,"Gallagher_field_workPHD"
"567","Cissus hypoglauca",10.8260257659413,"Gallagher_field_workPHD"
"568","Cissus hypoglauca",12.18,"Gallagher_field_workPHD"
"593","Cleistanthus cunninghamii",12.618,"AUSTRAITS_dataset_28"
"595","Cleistanthus cunninghamii",11.409,"AUSTRAITS_dataset_28"
"596","Cleistanthus cunninghamii",11.487,"AUSTRAITS_dataset_28"
"597","Cleistanthus cunninghamii",12.3076923076923,"Gallagher_field_workPHD"
"598","Cleistanthus cunninghamii",23.39214106,"C. James SEQLD field data"
"599","Cleistanthus cunninghamii",19.15389699,"C. James SEQLD field data"
"600","Cleistanthus cunninghamii",20.56826249,"C. James SEQLD field data"
"603","Clematis aristata",30.88,"AUSTRAITS_dataset_10"
"613","Clematis aristata",30.771,"AUSTRAITS_dataset_8"
"616","Clematis aristata",13.294336612603,"Gallagher_field_workPHD"
"617","Clematis aristata",12.8155837498398,"Gallagher_field_workPHD"
"643","Commersonia bartramia",11.5035085701139,"Gallagher_field_workPHD"
"659","Cryptocarya glaucescens",10.87,"AUSTRAITS_dataset_10"
"661","Cryptocarya glaucescens",10.72,"AUSTRAITS_dataset_8"
"662","Cryptocarya glaucescens",9.762,"AUSTRAITS_dataset_8"
"675","Cryptocarya laevigata",11.4758,"AUSTRAITS_dataset_67"
"676","Cryptocarya laevigata",11.4942528735632,"AUSTRAITS_dataset_32"
"680","Cryptocarya laevigata",16.30764918,"C. James SEQLD field data"
"681","Cryptocarya laevigata",15.270594,"C. James SEQLD field data"
"689","Cryptocarya obovata",12.99438903,"C. James SEQLD field data"
"690","Cryptocarya obovata",12.09116055,"C. James SEQLD field data"
"691","Cryptocarya obovata",14.66140653,"C. James SEQLD field data"
"696","Cryptocarya triplinervis",10.673497705198,"Gallagher_field_workPHD"
"701","Cryptocarya triplinervis",20.90978699,"C. James SEQLD field data"
"702","Cryptocarya triplinervis",12.92571492,"C. James SEQLD field data"
"718","Cupaniopsis anacardioides",12.5250501002004,"Gallagher_field_workPHD"
"719","Cupaniopsis anacardioides",11.5700566932778,"Gallagher_field_workPHD"
"720","Cupaniopsis anacardioides",10.0735368187771,"Gallagher_field_workPHD"
"721","Cupaniopsis anacardioides",9.94134605825629,"Gallagher_field_workPHD"
"722","Cupaniopsis anacardioides",9.287,"AUSTRAITS_dataset_52"
"723","Cupaniopsis anacardioides",12.14,"AUSTRAITS_dataset_52"
"733","Cupaniopsis anacardioides",8.267044811,"C. James SEQLD field data"
"759","Dioscorea transversa",44.244,"AUSTRAITS_dataset_8"
"760","Dioscorea transversa",51.646,"AUSTRAITS_dataset_8"
"774","Dioscorea transversa",40.3388463089956,"Gallagher_field_workPHD"
"775","Dioscorea transversa",39.9201596806387,"Gallagher_field_workPHD"
"776","Dioscorea transversa",39.4321766561514,"Gallagher_field_workPHD"
"777","Dioscorea transversa",35.2236703064459,"Gallagher_field_workPHD"
"778","Dioscorea transversa",47.945,"Gallagher_field_workPHD"
"786","Diospyros australis",8.75,"AUSTRAITS_dataset_3"
