gaugeID,gaugeName,MDF,CV,MDFAnnZer,CVAnnZer,MDFMDFWet,MDFMDFDry,CVMDFWet,CVMDFDry,HSPeak,HSMeanDur,MDFAnnHSNum,CVAnnHSNum,CVAnnHSPeak,CVAnnHSMeanDur,LSPeak,LSMeanDur,MDFAnnLSNum,CVAnnLSNum,CVAnnLSPeak,CVAnnLSMeanDur,MRateRise,MRateFall,CVAnnMRateRise,CVAnnMRateFall,BFI,CVAnnBFI,PS1YrARI,PS2YrARI,PS10YrARI,C_MDFM,M_MDFM,C_MinM,M_MinM,C_MaxM,M_MaxM,regulation
138001A,138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv],2482.439,5.878,1.727,2.614,1.333501045,0.756948308,1.272,1.633,27.27722454,4.533,2.727,0.881,0.825,0.438,0.086182581,35.074,6.909,0.454,0.431,0.604,0.750894584,0.300746161,1.145,1.026,0.196,0.405,17.00050555,35.22671333,100.8330118,0.061,0.08,0.029,0.086,0.26,0.068,0.084167315
138002C,138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv],116.234,9.583,101.576,0.967,1.395744791,0.719178554,1.384,2.606,60.88900838,4.528,2.182,0.94,0.813,0.547,0.073068121,57.578,5.727,0.505,0.773,0.955,2.694796703,1.133136604,1.424,2.255,0.123,0.799,17.96204209,69.50112704,219.7135348,0.185,0.074,0.121,0.068,0.457,0.042,0.182718591
138003D,138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv],40.65,11.56,37.034,1.414,1.362287823,0.75099631,1.456,2.471,67.46410824,3.738,2.103,0.903,1.08,0.472,0.084747847,42.371,6.966,0.456,0.67,0.719,1.899434194,0.772792128,1.692,2.118,0.141,0.566,16.03121771,61.36932349,263.8699385,0.112,0.067,0.049,0.077,0.38,0.047,0.157410179
138004AB,138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv],274.858,7.339,56.606,1.306,1.353007735,0.603340634,1.219,2.231,44.89518588,4.419,2.242,0.829,0.811,0.425,0.058321024,40.891,7.606,0.325,0.519,0.516,1.302610803,0.598883787,1.166,1.139,0.1,0.632,22.19790583,63.38431845,154.3072714,0.143,0.086,0.08,0.091,0.497,0.045,0.055746011
138102C,138102C [138102C_amamoor.csv],75.575,12.678,11.565,2.571,1.476546477,0.664082038,1.468,2.283,66.54781343,3.314,2.217,0.977,1.163,0.401,0.084922263,42.049,7,0.423,0.491,0.76,1.615004962,0.759523652,1.609,2.271,0.12,0.567,20.14548462,61.64512074,262.4249421,0.127,0.095,0.033,0.097,0.402,0.055,0.139512725
138104a,138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv],185.543,4.439,6.636,1.854,1.289582469,0.793918391,1.045,0.986,28.71736471,4.177,2.394,1.033,0.626,0.376,0.078709517,25.015,6.788,0.418,0.568,0.602,0.628280237,0.3119762,1.21,1.289,0.297,0.318,13.62434045,31.34959012,84.38710703,0.066,0.09,0.056,0.084,0.219,0.066,0.043585689
138107AB,138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv],196.636,5.348,12.455,2.07,1.229490022,0.846294676,1.008,1.195,29.58064647,3.522,3.424,0.781,0.922,0.35,0.080519335,37.181,6.848,0.316,0.574,0.744,1.308132794,0.629132,1.068,1.122,0.179,0.3,13.98586729,52.80318456,119.0110865,0.052,0.08,0.006,0.103,0.32,0.061,0.112021518
138111A,138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv],606.124,6.586,8.667,1.851,1.190144261,0.766186457,1.211,1.508,38.873808,3.925,2.424,0.868,0.829,0.383,0.099014393,30.881,6.636,0.394,0.494,0.605,1.285139674,0.494774997,1.39,1.264,0.241,0.363,16.6500551,47.77282041,152.4139664,0.065,0.074,0.028,0.081,0.221,0.062,0.072890363
138119B,138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv],30.022,1.498,140.083,0.641,1.014855772,1.134334821,0.846,0.756,7.150323096,8.593,1.083,1.619,0.357,0.699,0.023516088,29.977,5.042,0.585,2.372,0.63,0.311205116,0.31323696,0.6,0.844,0.357,0.374,4.233795217,6.383085737,10.29551662,0.109,0.087,0.183,0.095,0.401,0.075,0.472524735
138903A,138903A [138903A_tinana.csv],423.205,6.013,0.333,5.099,1.241722097,0.831979773,1.49,1.394,29.48135773,4.697,2.444,0.979,0.898,0.332,0.084566581,41.458,6.481,0.465,0.468,0.615,0.831469382,0.387077185,1.062,1.03,0.16,0.49,20.05988351,33.06891459,87.04866908,0.075,0.092,0.016,0.083,0.307,0.076,0.098901964
141008A,141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv],78.001,5.269,23.346,1.489,1.15157498,0.817348496,0.965,1.018,37.34932885,3.823,2.385,0.847,0.726,0.347,0.068165793,28.283,7.846,0.34,0.421,0.455,1.111575493,0.537698235,1.062,0.984,0.196,0.321,23.71240112,55.73401623,112.0414995,0.07,0.095,0.02,0.096,0.33,0.088,0.087852935
141009A,141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv],57.091,5.573,6.154,2.241,1.271408803,0.762396875,0.811,0.928,32.52428579,3.064,3.615,0.686,0.641,0.245,0.078646372,19.354,12.538,0.301,0.35,0.374,1.704401745,0.865968366,0.742,0.926,0.137,0.345,24.87269447,59.94244277,117.4949817,0.045,0.097,0.02,0.103,0.392,0.063,0.073307437
143112A,143112A [reynolds_short.csv],99.23,2.776,3.1,1.933,1.788763479,1.139836743,0,0,26.50306359,7.7,1,1.183,0.658,0.479,0.062027613,7.951,7.7,0.439,0.45,0.654,0.336964628,0.139544493,1.466,0.613,0.413,0.322,2.807739595,15.51001713,51.97109745,0.312,0.163,0.357,0.128,0.304,0.114,0.379947512
143303A,143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv],150.434,4.938,0.094,5.568,1.281970831,0.800105029,0.902,1,34.02541314,3.404,2.75,0.843,0.675,0.384,0.105727429,22.099,8.875,0.429,0.753,0.881,1.401325498,0.552893628,1.099,0.751,0.26,0.27,23.70414933,58.01586742,100.9289522,0.081,0.093,0.064,0.095,0.198,0.077,0.044342519
145002B,146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv],39.082,2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,31.82488102,85.90660662,291.8515941,0.109,0.103,0.066,0.145,0.329,0.078,0.23025904
145011A,145011A [145011 Teviot Brook at Croftby Oct 1975-Aug 2010.csv],31.238,7.24,37.364,1.729,0.926915936,0.61937384,0.797,1.836,45.98978808,3.433,2.727,0.881,0.686,0.337,0.090146616,38.728,7.091,0.48,0.555,1.245,1.731000704,0.796369806,1.166,1.38,0.168,0.514,28.79246431,73.55893463,169.640694,0.07,0.079,0.017,0.098,0.305,0.042,NA
145012A,FilledLI145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv],117.31,8.92,97.606,1.126,1.040013639,0.742698832,1.283,2.063,55.51873668,3.768,2.485,0.83,0.935,0.327,0.068050465,43.014,7.121,0.42,0.655,1.127,2.433245248,0.844744694,1.066,1.409,0.107,0.693,28.43396982,74.95944932,208.5145853,0.157,0.074,0.113,0.09,0.486,0.04,0.087980781
145018A,145018A [145018 Burnett Creek at Upstream of Maroon Dam Oct 1975-Aug 2010.csv],30.356,5.238,34.226,2,1.157069443,0.912768481,0.893,1.514,36.78501779,4.139,2.548,0.966,0.543,0.402,0.085419686,30.945,7.806,0.549,0.524,1.462,1.292693372,0.506292002,0.995,1.251,0.216,0.397,24.55293846,53.48721834,111.8338714,0.066,0.075,0.017,0.079,0.275,0.051,NA
145020A,145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv],197.653,5.327,0.455,3.946,1.052404972,0.712035739,0.769,1.544,39.93140504,4.299,2.333,0.965,0.763,0.502,0.111685631,11.553,14.394,0.367,0.289,0.51,0.989441091,0.468553475,1.132,1.263,0.249,0.485,26.80926675,56.6587555,119.8170126,0.148,0.074,0.153,0.09,0.267,0.035,0.108089453
145099A,145099A [145099 Burnett Creek at Maroon Dam Tailwater Oct 1975-Sep 2010.csv],39.082,2.975,2.394,4.97,0.669105982,0.906094877,0.862,1.056,18.18686352,6.635,1.576,1.914,0.567,0.629,0.054219334,14.39,10.212,0.425,0.423,0.681,0.649966737,0.614195793,2.154,2.247,0.305,0.411,4.844480835,17.9559388,41.80438565,0.125,0.077,0.177,0.062,0.316,0.057,0.211616851
146010A,146010A [146010 Coomera River at Army Camp Oct 1975-Aug 2010.csv],81.846,6.033,15.121,1.963,1.169696748,0.536336534,0.789,1.504,46.58921633,4.061,2,0.788,0.85,0.407,0.092796227,19.2,9.606,0.376,0.348,0.474,0.958458569,0.394716907,0.948,1.092,0.228,0.341,17.16385651,57.61155096,145.1138357,0.08,0.091,0.063,0.084,0.25,0.08,0.03225678
146012A,146012A [146012 Currumbin Creek at Nicolls Bridge Oct 1989-Aug 2010.csv],52.146,3.979,8.316,2.639,1.313830399,0.639627201,0.694,0.893,25.63287692,3.632,3,0.725,0.543,0.31,0.097974917,18.964,9.474,0.355,0.315,0.531,1.213573428,0.447857937,0.692,0.874,0.248,0.331,18.7963794,39.01854409,76.88633836,0.069,0.156,0.051,0.154,0.213,0.094,0.103742363
