site,regulated_any,regulated,siteName,replicate,DECLAT,DECLONG,gaugeID,gaugeName
3,unreg,ref_hist_close,3. Burnett Creek upstream of gauge 145018a,2,-28.227389,152.604028,145018A,145018A [145018 Burnett Creek at Upstream of Maroon Dam Oct 1975-Aug 2010.csv]
2,unreg,ref_hist_close,2. Burnett Creek downstream of gauge 145018a ,1,-28.216333,152.613778,145018A,145018A [145018 Burnett Creek at Upstream of Maroon Dam Oct 1975-Aug 2010.csv]
41,,,41. Logan River at Running Creek Road ,1,-28.2128,152.8739,145020A,145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv]
29,,,29. Currumbin Creek at Currumbin Valley Primary School ,1,-28.2075,153.3953,146012A,146012A [146012 Currumbin Creek at Nicolls Bridge Oct 1989-Aug 2010.csv]
30,,,30. Currumbin Creek at Fordyce Court,2,-28.1908,153.4167,146012A,146012A [146012 Currumbin Creek at Nicolls Bridge Oct 1989-Aug 2010.csv]
27,reg,reg,27. Burnett Creek at 2 km downstream of Maroon Dam ,1,-28.1759,152.6722,145099A,145099A [145099 Burnett Creek at Maroon Dam Tailwater Oct 1975-Sep 2010.csv]
28,reg,reg,28. Burnett Creek at Splityard Creek Road,2,-28.1659,152.6814,145099A,145099A [145099 Burnett Creek at Maroon Dam Tailwater Oct 1975-Sep 2010.csv]
7,unreg,ref_hist_close,7. Teviot Brook near Brennan Road1 ,1,-28.162139,152.558306,145011A,145011A [145011 Teviot Brook at Croftby Oct 1975-Aug 2010.csv]
8,unreg,ref_hist_close,8. Teviot Brook at Croftby,2,-28.156194,152.571833,145011A,145011A [145011 Teviot Brook at Croftby Oct 1975-Aug 2010.csv]
25,unreg,,25. Coomera River at Tucker Lane,2,-28.0561,153.1786,146010A,146010A [146010 Coomera River at Army Camp Oct 1975-Aug 2010.csv]
5,unreg,, 5. Coomera River at Coomera Scouts Hall,1,-28.046806,153.189944,146010A,146010A [146010 Coomera River at Army Camp Oct 1975-Aug 2010.csv]
4,reg,reg, 4. Nerang River at Grand Manor Golf Course,1,-28.022306,153.302583,145002B,146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv]
20,reg,reg,20. Reynolds Creek at Yarramalong camp ground ,1,-28.011556,152.556528,143112A,143112A [reynolds_short.csv]
6,reg,reg,6. Nerang River at Weber Court near Chantrill Avenue ,2,-28.005972,153.313944,145002B,146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv]
21,reg,reg,21. Reynolds Creek at downstream of Purdons Bridge ,2,-28.000694,152.569917,143112A,143112A [reynolds_short.csv]
44,unreg,,44. Teviot Brook at Wyaralong b,2,-27.9061,152.8583,145012A,FilledLI145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv]
1,,,1. Stanley River at Cove Road,1,-26.919739,152.772544,143303A,143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv]
26,,,26. Stanley River at gauge site,2,-26.8392,152.8403,143303A,143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv]
19,,,19. Eudlo Creek upstream of Bruce Highway ,2,-26.686,152.996361,141008A,141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv]
18,unreg,,18. Eudlo Creek at gauge site,1,-26.662528,153.018139,141008A,141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv]
13,reg,reg,13. Obi Obi Creek upstream of number 2 crossing ,2,-26.639725,152.790106,138104a,138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv]
