site,siteName,DECLAT,DECLONG,gaugeID,gaugeName,clim_dnrg,clim_isot,clim_pcld,clim_pdmt,clim_pdry,clim_prec,clim_psea,clim_pwet,clim_pwmt,clim_pwrm,clim_tavg,clim_tcld,clim_tdry,clim_tmax,clim_tmin,clim_trng,clim_tsea,clim_twet,clim_twrm,soil_awc,soil_bdw,soil_cly,soil_der,soil_des,soil_ece,soil_nto,soil_phc,soil_pto,soil_slt,soil_snd,soil_soc
1,1. Stanley River at Cove Road,-26.919739,152.772544,143303A,143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv],12.14808846,53.61001587,143.561264,33.16362381,118.697998,1153.776733,46.90408707,442.6585693,177.8186035,442.6585693,20.07529831,14.8249712,15.86943626,30.22143364,7.561323643,22.66011047,389.8130493,24.52971649,24.52971649,13.1887064,1.23506403,26.685215,15.96392727,1.13616991,7.168894291,0.225267485,4.850421906,0.067161635,15.6005621,46.35223007,4.216975212
2,2. Burnett Creek downstream of gauge 145018a ,-28.216333,152.613778,145018A,145018A [145018 Burnett Creek at Upstream of Maroon Dam Oct 1975-Aug 2010.csv],13.82896233,52.80395126,120.412941,29.58830643,112.5138702,967.2439575,46.22595978,388.462738,134.2378693,388.462738,18.44080162,12.39746857,13.57223988,30.23960686,4.050349236,26.18925667,450.3643188,23.59609032,23.59609032,15.017416,1.194262385,19.60969734,3.122287035,1.056316853,16.91392517,0.198060915,5.356603146,0.043224279,17.37374878,57.76696777,3.683989286
3,3. Burnett Creek upstream of gauge 145018a,-28.227389,152.604028,145018A,145018A [145018 Burnett Creek at Upstream of Maroon Dam Oct 1975-Aug 2010.csv],13.79892063,52.7397728,122.8064728,30.03965378,114.0235367,977.3255005,45.59164047,389.674469,135.2442932,389.674469,18.37519836,12.33047295,13.50588894,30.17416573,4.010002136,26.16416359,450.5137939,23.53348923,23.53348923,14.98192692,1.220199227,21.18978882,4.405022621,1.173047423,16.33325577,0.172754243,5.535741329,0.037521992,15.09672832,59.39103699,2.981785536
4, 4. Nerang River at Grand Manor Golf Course,-28.022306,153.302583,145002B,146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv],11.86628056,52.91636276,174.057312,40.98834229,142.5914917,1332.441895,44.22193527,480.625946,183.9373016,474.7789917,19.85819054,14.70363712,15.59643745,29.6568718,7.232275486,22.42459679,384.7421875,24.0169487,24.25049591,13.15342522,1.197072864,22.65402603,3.583175898,1.129638195,9.990216255,0.174282745,4.612263203,0.044354651,20.67567635,52.77626038,3.385577917
5, 5. Coomera River at Coomera Scouts Hall,-28.046806,153.189944,146010A,146010A [146010 Coomera River at Army Camp Oct 1975-Aug 2010.csv],12.29094696,52.95339203,149.3858643,37.73722458,127.6242981,1211.605347,44.97564697,453.189209,172.3799133,453.189209,18.93275452,13.58786678,14.57236576,29.13799858,5.927121162,23.21087837,397.3336792,23.45186424,23.45186424,13.55158997,1.153934479,21.23000717,4.248885155,1.069239497,10.28589153,0.206879646,4.835061073,0.044240389,20.04157066,49.53961182,3.460840464
6,6. Nerang River at Weber Court near Chantrill Avenue ,-28.005972,153.313944,145002B,146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv],11.72317886,52.81443024,176.0374756,41.06150436,144.0125732,1327.835083,43.74140549,476.1430969,181.2915497,468.2572937,19.91764832,14.8046999,15.6835041,29.6250782,7.428154945,22.1969223,381.8599243,24.05523682,24.27853966,13.5691967,1.210136533,21.60365295,5.05502224,1.162707686,8.458163261,0.16823931,4.626170158,0.054521311,19.61895943,51.64487076,3.588429213
7,7. Teviot Brook near Brennan Road1 ,-28.162139,152.558306,145011A,145011A [145011 Teviot Brook at Croftby Oct 1975-Aug 2010.csv],14.07360554,52.94544601,105.4663239,26.43251419,100.3714218,891.718811,48.69025803,366.1491089,125.7035065,366.1491089,18.70462036,12.58199692,13.76526833,30.67473793,4.093405247,26.58133316,456.5210266,23.92965889,23.92965889,15.41628075,1.261082053,18.19693756,7.479796886,1.223063111,14.37866402,0.154833391,5.23056221,0.07141079,14.70367241,57.35041428,2.891135216
8,8. Teviot Brook at Croftby,-28.156194,152.571833,145011A,145011A [145011 Teviot Brook at Croftby Oct 1975-Aug 2010.csv],14.16186619,53.05957031,104.2738876,26.21613693,99.22058105,887.4594727,48.90520477,365.0860596,125.504303,365.0860596,18.82969666,12.69645309,13.88093948,30.82767105,4.137168407,26.69050217,457.280304,24.0619545,24.0619545,15.85127831,1.209161758,22.81381226,10.1508894,1.186378241,15.29266071,0.167012811,5.221028805,0.051513221,16.59193039,55.88515472,3.605105877
9,9. Amamoor Creek at Harrys Creek Road2 ,-26.346139,152.656028,138102C,138102C [138102C_amamoor.csv],12.50164318,53.60297775,141.7344666,34.50591278,122.2714691,1130.202637,47.68352509,449.5500488,176.7278748,449.5500488,20.58245087,15.22526455,16.28660202,30.84773636,7.52507019,23.32266617,396.1566772,25.05847168,25.05847168,13.66369915,1.241800547,23.01506615,5.216386795,1.193337083,10.38984203,0.210364312,4.973424435,0.046734612,21.46771431,59.48788452,2.84725523
10,10. Yabba Creek at Stirling Crossing,-26.490111,152.627528,138119B,138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv],12.52034855,53.69879913,134.5861511,31.92234993,115.2363205,1074.434937,47.22675705,429.9311218,163.2787476,429.9311218,20.19496346,14.84904575,15.91521549,30.51366234,7.197780609,23.31588173,395.9205933,24.67420006,24.67420006,13.44261932,1.245633245,21.97478867,10.35305309,1.282849908,10.66763306,0.205140367,5.052348614,0.067297325,18.53188705,50.7361908,2.714846611
