Date,138110A
1/10/1975,61.703
2/10/1975,79.054
3/10/1975,75.481
4/10/1975,52.339
5/10/1975,39.044
6/10/1975,32.767
7/10/1975,30.794
8/10/1975,30.5
9/10/1975,26.733
10/10/1975,32.777
11/10/1975,37.977
12/10/1975,42.917
13/10/1975,33.725
14/10/1975,28.214
15/10/1975,25.105
16/10/1975,23.747
17/10/1975,27.637
18/10/1975,33.125
19/10/1975,36.367
20/10/1975,61.937
21/10/1975,83.353
22/10/1975,80.274
23/10/1975,77.707
24/10/1975,111.031
25/10/1975,162.86
26/10/1975,91.572
27/10/1975,64.496
28/10/1975,54.97
29/10/1975,44.974
30/10/1975,36.218
31/10/1975,32.698
1/11/1975,42.562
2/11/1975,50.696
3/11/1975,51.424
4/11/1975,48.576
5/11/1975,53.109
6/11/1975,47.374
7/11/1975,33.085
8/11/1975,31.608
9/11/1975,39.344
10/11/1975,99.822
11/11/1975,192.944
12/11/1975,185.316
13/11/1975,150.033
14/11/1975,143.898
15/11/1975,908.381
16/11/1975,987.186
17/11/1975,447.889
18/11/1975,430.695
19/11/1975,305.87
20/11/1975,211.975
21/11/1975,192.02
22/11/1975,179.058
23/11/1975,167.924
24/11/1975,164.166
25/11/1975,163.753
26/11/1975,199.736
27/11/1975,232.212
28/11/1975,149.114
29/11/1975,133.476
30/11/1975,118.402
1/12/1975,109.491
2/12/1975,106.656
3/12/1975,99.109
4/12/1975,103.462
5/12/1975,90.92
6/12/1975,87.567
7/12/1975,86.491
8/12/1975,96.584
9/12/1975,129.028
10/12/1975,159.325
11/12/1975,244.871
12/12/1975,193.396
13/12/1975,149.221
14/12/1975,137.63
15/12/1975,118.927
16/12/1975,107.409
17/12/1975,100.414
18/12/1975,99.275
19/12/1975,92.711
20/12/1975,91.058
21/12/1975,101.552
22/12/1975,159.96
23/12/1975,1343.236
24/12/1975,2564.697
25/12/1975,772.524
26/12/1975,503.878
27/12/1975,411.035
28/12/1975,464.235
29/12/1975,397.073
30/12/1975,357.828
31/12/1975,280.075
1/01/1976,232.573
2/01/1976,194.443
